Recon 2 ID	Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD ID
2maacoa	2-methylacetoacetyl-CoA(4-)	NHNODHRSCRALBF-NQNBQJKNSA-N	15476	HMDB01157	C03344		
2mb2coa	2-methylcrotonoyl-CoA(4-)	PMWATMXOQQZNBX-DJVIHCHSSA-N	57337	HMDB02054	C03345	5280564	
2mbcoa	2-methylbutanoyl-CoA(4-)	LYNVNYDEQMMNMZ-XGXNYEOVSA-N	15477	HMDB01041	C01033		
2mcacn	(Z)-but-2-ene-1,2,3-tricarboxylate	NUZLRKBHOBPTQV-UHFFFAOYSA-N	16717	HMDB06357	C04225	3080625	
2mcit	2-methylcitrate(3-)	YNOXCRMFGMSKIJ-UHFFFAOYSA-N	30835	HMDB00379			
2mop	2-methyl-3-oxopropanoate	VOKUMXABRRXHAR-UHFFFAOYSA-N	16256	HMDB01172	C00349	296	LMFA01060193
2mp2coa	2-Methylprop-2-enoyl-CoA	NPALUEYCDZWBOV-NDZSKPAWSA-N	27754	HMDB01011	C03460		
2mpdhl	S-(2-Methylpropanoyl)-dihydrolipoamide	UEFURMXXHJCLJP-UHFFFAOYSA-N	17577	HMDB06868	C04424	11953835	
2obut	2-Oxobutanoate	TYEYBOSBBBHJIV-UHFFFAOYSA-N	30831	HMDB00005	C00109	58	LMFA01060002
2octdectecoa	2,6,9,12-octadecatetraenoylcoa						
2octpencoa	2,6,9,12,15-octadecapentenoylcoa						
2oxoadp	2-oxoadipate(2-)	FGSBNBBHOZHUBO-UHFFFAOYSA-N	15753	HMDB00225	C00322		LMFA01170121
2pg	D-Glycerate 2-phosphate	GXIURPTVHJPJLF-UWTATZPHSA-N	17835	HMDB03391	C00631	439278	
2pglyc	2-phosphonatoglycolate(3-)	ASCFNMCAHFUBCO-UHFFFAOYSA-N	17150	HMDB00816	C00988	529	
34dhcinm	trans-caffeate	QAIPRVGONGVQAS-UHFFFAOYSA-N	16433	HMDB03501	C01197	689043	
34dhmald	3,4-Dihydroxymandelaldehyde	YUGMCLJIWGEKCK-UHFFFAOYSA-N	27852	HMDB06242	C05577	151725	
34dhoxmand	3,4-Dihydroxymandelate	RGHMISIYKIHAJW-UHFFFAOYSA-N	27637	HMDB01866	C05580	85782	
