"affy_hg_u95av2"	"entrezgene"
"39066_at"	4239
"41224_at"	23020
"35219_at"	54587
"34343_at"	6770
"40154_at"	100526693
"37329_at"	4723
"33848_r_at"	1027
"2034_s_at"	1027
"33847_s_at"	1027
"34139_at"	6754
"36247_f_at"	126
"34637_f_at"	126
"40780_at"	1488
"33803_at"	7056
"37852_at"	NA
"39946_at"	5068
"34003_at"	NA
"41061_at"	3092
"31605_at"	171220
"38141_at"	55322
"34575_f_at"	NA
"1654_at"	673
"40306_at"	673
"35282_r_at"	975
"1871_g_at"	NA
"37540_at"	9172
"38295_at"	NA
"32440_at"	NA
"32647_at"	NA
"41134_at"	22839
"33749_at"	11257
"31980_at"	8456
"40123_at"	8729
"34279_at"	NA
"318_at"	8971
"319_g_at"	8971
"41836_at"	10523
"32701_at"	421
"32057_at"	10234
"35443_at"	NA
"38618_at"	3985
"38617_at"	3985
"41449_at"	8910
"35137_at"	8736
"34435_at"	366
"35982_at"	8988
"528_at"	8988
"1482_g_at"	4321
"1481_at"	4321
"32796_f_at"	154754
"39796_at"	10197
"33461_at"	10371
"37668_at"	NA
"1438_at"	2049
"34045_at"	NA
"38422_s_at"	2274
"576_at"	4846
"1961_f_at"	4846
"39017_at"	27257
"35760_at"	NA
"35952_at"	124044
"208_at"	1496
"31841_at"	1496
"1491_at"	5806
"40297_at"	26872
"39880_at"	374819
"41485_at"	3939
"1192_at"	5718
"32229_at"	9470
"39028_at"	3843
"40551_at"	NA
"33219_at"	23032
"39916_r_at"	NA
"39978_at"	3293
"38180_f_at"	5678
"33529_at"	131
"39145_at"	10398
"40154_at"	26140
"39195_s_at"	115286
"36358_at"	NA
"35370_at"	9913
"38611_at"	3990
"37545_at"	192683
"37546_r_at"	192683
"37326_at"	5355
"AFFX-HUMTFRR/M11507_3_at"	7037
"37324_at"	7037
"AFFX-HUMTFRR/M11507_M_at"	7037
"AFFX-HUMTFRR/M11507_5_at"	7037
"39841_at"	9120
"34539_at"	NA
"35436_at"	NA
"39577_at"	25928
"38986_at"	171423
"38986_at"	101060561
"33004_g_at"	8440
"33002_at"	8440
"34408_at"	6253
"36449_s_at"	5697
"32728_at"	273
"41397_at"	55565
"38311_at"	60436
"40414_at"	7407
"1992_at"	2272
"1971_g_at"	2272
"34795_at"	5352
"41231_f_at"	283651
"37439_at"	283651
"2045_s_at"	3055
"40742_at"	3055
"32033_at"	NA
"35936_g_at"	NA
"35935_at"	NA
"35228_at"	NA
"41551_at"	11079
"41282_s_at"	11079
"41550_at"	11079
"41552_g_at"	11079
"32576_at"	NA
"37013_at"	1636
"657_at"	56106
"37127_at"	NA
"32337_at"	619499
"35036_at"	22918
"34556_at"	3857
"36436_at"	3950
"41535_at"	8099
"35903_at"	4974
"36678_at"	8407
"40140_at"	7844
"39846_at"	8722
"36162_at"	682
"32027_at"	728939
"32420_at"	2830
"32027_at"	NA
"37462_i_at"	8175
"335_r_at"	8175
"37463_r_at"	8175
"32633_at"	3382
"32634_s_at"	3382
"39557_at"	201229
"32137_at"	3714
"33878_at"	80303
"34411_at"	9061
"36778_at"	4935
"35411_at"	9605
"34734_at"	3998
"31408_at"	10692
"40728_at"	NA
"36268_at"	2846
"37190_at"	8936
"38250_at"	23160
"37992_s_at"	513
"37993_at"	513
"358_at"	27334
"36413_at"	27334
"36263_g_at"	2799
"40433_at"	2799
"40432_at"	2799
"36262_at"	2799
"34279_at"	55672
"34279_at"	101059961
"34279_at"	101060202
"34279_at"	101060362
"31382_f_at"	10720
"34250_at"	440073
"34250_at"	100996825
"39024_at"	4928
"38911_at"	4928
"36227_at"	3575
"1370_at"	3575
"32100_r_at"	2588
"36418_at"	4007
"36580_at"	64795
"32803_at"	10175
"579_at"	NA
"33943_at"	NA
"33127_at"	4017
"35064_at"	11074
"35029_at"	11074
"39622_at"	8521
"39357_at"	NA
"32699_s_at"	5817
"32698_at"	5817
"37954_at"	244
"41195_at"	4026
"33704_at"	9875
"33292_at"	10126
"40344_at"	22871
"32033_at"	1120
"39052_at"	3861
"35284_f_at"	55218
"35283_at"	55218
"35920_at"	3044
"35921_at"	3044
"38292_at"	9455
"36020_at"	100996862
"38107_at"	9094
"39000_at"	4836
"38999_s_at"	4836
"35624_at"	22881
"34246_at"	221749
"35875_at"	8879
"35876_s_at"	8879
"34386_at"	8930
"38836_at"	23467
"40775_at"	9452
"41162_at"	5496
"33488_at"	7098
"41281_s_at"	5192
"32542_at"	2273
"31380_at"	2081
"35374_at"	9696
"32331_at"	NA
"35852_at"	1408
"34126_at"	9024
"40127_at"	81855
"39561_at"	23466
"40696_at"	8737
"475_at"	8737
"40622_r_at"	89910
"40623_at"	89910
"160030_at"	2690
"102_at"	10114
"41501_at"	10114
"40983_s_at"	63826
"33050_at"	NA
"38524_at"	100506658
"40019_at"	2124
"37987_at"	4686
"36090_at"	26608
"32227_at"	5552
"34900_at"	8224
"38207_at"	283131
"38207_at"	693197
"33674_at"	NA
"34465_at"	6247
"38172_at"	874
"35440_g_at"	7536
"41203_at"	7536
"41204_s_at"	7536
"35439_at"	7536
"37473_at"	3868
"601_s_at"	3868
"40699_at"	925
"36713_at"	25893
"31414_at"	NA
"36313_at"	NA
"37364_at"	677777
"38005_at"	11046
"36843_at"	6494
"37035_at"	27230
"35908_at"	11063
"33951_at"	3766
"31413_at"	50858
"31413_at"	100101116
"41819_at"	2533
"289_at"	6774
"39708_at"	6774
"717_at"	28951
"40113_at"	28951
"36870_at"	23355
"36870_at"	100505729
"35019_at"	9534
"484_at"	8648
"36118_at"	8648
"35177_at"	23259
"40798_s_at"	102
