"GSM862922_U87.1.CEL.gz"	"GSM862923_U87.2.CEL.gz"	"GSM862924_U87.3.CEL.gz"
"1552499_a_at"	"A"	"A"	"A"
"1552501_a_at"	"A"	"A"	"A"
"1552502_s_at"	"A"	"A"	"A"
"1552503_at"	"A"	"A"	"A"
"1552504_a_at"	"A"	"A"	"A"
"1552506_at"	"A"	"A"	"A"
"1552507_at"	"A"	"A"	"A"
"1552508_at"	"A"	"A"	"A"
"1552509_a_at"	"A"	"A"	"A"
"1552510_at"	"A"	"A"	"A"
"1552511_a_at"	"A"	"A"	"A"
"1552514_at"	"A"	"A"	"A"
"1552515_at"	"A"	"A"	"A"
"1552516_a_at"	"A"	"A"	"A"
"1552518_s_at"	"A"	"A"	"A"
"1552519_at"	"A"	"A"	"P"
"1552520_at"	"P"	"P"	"P"
"1552521_a_at"	"P"	"P"	"P"
"1552522_at"	"A"	"A"	"A"
"1552523_a_at"	"A"	"A"	"A"
"1552524_at"	"A"	"A"	"A"
"1552526_at"	"A"	"A"	"A"
"1552528_at"	"A"	"A"	"A"
"1552531_a_at"	"A"	"A"	"A"
"1552532_a_at"	"A"	"A"	"A"
"1552535_at"	"A"	"A"	"A"
"1552536_at"	"P"	"A"	"A"
"1552538_a_at"	"A"	"A"	"A"
"1552540_s_at"	"A"	"A"	"A"
"1552541_at"	"A"	"A"	"A"
"1552542_s_at"	"A"	"A"	"A"
"1552543_a_at"	"A"	"A"	"A"
"1552544_at"	"A"	"A"	"A"
"1552546_a_at"	"A"	"A"	"P"
"1552548_at"	"A"	"P"	"A"
"1552549_a_at"	"A"	"A"	"A"
"1552552_s_at"	"A"	"A"	"A"
"1552553_a_at"	"A"	"A"	"A"
"1552554_a_at"	"A"	"A"	"A"
"1552555_at"	"A"	"A"	"A"
"1552557_a_at"	"A"	"A"	"A"
"1552558_a_at"	"A"	"A"	"P"
"1552559_a_at"	"A"	"A"	"A"
"1552562_at"	"A"	"A"	"A"
"1552563_a_at"	"A"	"A"	"A"
"1552564_at"	"A"	"A"	"A"
"1552566_at"	"A"	"A"	"A"
"1552568_at"	"A"	"A"	"A"
"1552569_a_at"	"A"	"A"	"A"
"1552570_at"	"A"	"A"	"A"
"1552572_a_at"	"A"	"A"	"A"
"1552573_s_at"	"A"	"A"	"A"
"1552575_a_at"	"M"	"A"	"A"
"1552576_at"	"A"	"A"	"A"
"1552578_a_at"	"A"	"A"	"A"
"1552579_a_at"	"M"	"A"	"A"
"1552580_at"	"A"	"A"	"A"
"1552582_at"	"A"	"A"	"A"
"1552583_s_at"	"A"	"A"	"A"
"1552584_at"	"A"	"A"	"A"
"1552585_s_at"	"A"	"A"	"A"
"1552586_at"	"M"	"A"	"A"
"1552587_at"	"A"	"A"	"A"
"1552588_a_at"	"A"	"A"	"A"
"1552590_a_at"	"A"	"A"	"A"
"1552592_at"	"A"	"A"	"A"
"1552594_at"	"A"	"A"	"A"
"1552596_at"	"A"	"A"	"A"
"1552598_at"	"A"	"A"	"A"
"1552599_at"	"A"	"A"	"A"
"1552602_at"	"P"	"M"	"A"
"1552604_at"	"A"	"A"	"A"
"1552605_s_at"	"A"	"A"	"A"
"1552607_at"	"A"	"A"	"A"
"1552608_at"	"A"	"A"	"A"
"1552609_s_at"	"A"	"A"	"A"
"1552610_a_at"	"P"	"A"	"P"
"1552611_a_at"	"P"	"P"	"P"
"1552612_at"	"A"	"A"	"A"
"1552613_s_at"	"A"	"A"	"A"
"1552615_at"	"A"	"A"	"A"
"1552616_a_at"	"A"	"A"	"A"
"1552617_a_at"	"P"	"P"	"P"
"1552618_at"	"A"	"A"	"A"
"1552619_a_at"	"P"	"P"	"P"
"1552620_at"	"A"	"A"	"A"
"1552621_at"	"P"	"P"	"P"
"1552622_s_at"	"P"	"M"	"A"
"1552623_at"	"A"	"A"	"A"
"1552625_a_at"	"P"	"M"	"P"
"1552626_a_at"	"A"	"A"	"A"
"1552627_a_at"	"A"	"M"	"A"
"1552628_a_at"	"P"	"P"	"P"
"1552629_a_at"	"A"	"A"	"A"
"1552630_a_at"	"A"	"A"	"A"
"1552631_a_at"	"P"	"P"	"P"
"1552632_a_at"	"A"	"A"	"A"
"1552633_at"	"A"	"P"	"M"
"1552634_a_at"	"P"	"A"	"A"
"1552637_at"	"A"	"A"	"A"
"1552639_at"	"A"	"A"	"A"
"1552641_s_at"	"A"	"A"	"A"
"1552643_at"	"A"	"A"	"A"
"1552644_a_at"	"A"	"M"	"A"
"1552646_at"	"A"	"A"	"A"
"1552648_a_at"	"A"	"A"	"A"
"1552649_a_at"	"A"	"P"	"A"
"1552651_a_at"	"A"	"A"	"A"
"1552652_at"	"P"	"P"	"P"
"1552656_s_at"	"A"	"A"	"A"
"1552657_a_at"	"A"	"A"	"A"
"1552658_a_at"	"P"	"P"	"P"
"1552660_a_at"	"P"	"P"	"A"
"1552661_at"	"A"	"A"	"A"
"1552662_a_at"	"A"	"A"	"A"
"1552663_a_at"	"A"	"A"	"A"
"1552664_at"	"P"	"P"	"P"
"1552665_at"	"P"	"A"	"A"
"1552666_a_at"	"A"	"A"	"A"
"1552667_a_at"	"A"	"A"	"A"
"1552669_at"	"A"	"A"	"A"
"1552670_a_at"	"A"	"A"	"A"
"1552671_a_at"	"A"	"A"	"A"
"1552672_a_at"	"A"	"A"	"A"
"1552673_at"	"A"	"A"	"A"
"1552674_at"	"A"	"A"	"A"
"1552675_at"	"A"	"A"	"A"
"1552676_at"	"A"	"A"	"A"
"1552677_a_at"	"A"	"A"	"A"
"1552678_a_at"	"A"	"A"	"A"
"1552680_a_at"	"A"	"A"	"A"
"1552682_a_at"	"P"	"A"	"A"
"1552684_a_at"	"A"	"A"	"A"
"1552685_a_at"	"A"	"A"	"A"
"1552686_at"	"A"	"A"	"A"
"1552687_a_at"	"A"	"A"	"A"
"1552689_at"	"A"	"A"	"A"
"1552690_a_at"	"A"	"A"	"P"
"1552691_at"	"A"	"A"	"A"
"1552693_at"	"A"	"A"	"A"
"1552694_at"	"A"	"A"	"A"
"1552695_a_at"	"A"	"A"	"A"
"1552696_at"	"A"	"A"	"A"
"1552698_at"	"A"	"P"	"A"
"1552701_a_at"	"A"	"A"	"A"
"1552703_s_at"	"M"	"M"	"A"
"1552705_at"	"A"	"A"	"A"
"1552708_a_at"	"A"	"A"	"A"
"1552711_a_at"	"P"	"P"	"P"
"1552712_a_at"	"P"	"P"	"P"
"1552713_a_at"	"P"	"A"	"A"
"1552714_at"	"A"	"A"	"A"
"1552715_a_at"	"A"	"A"	"A"
"1552716_at"	"M"	"P"	"P"
"1552717_s_at"	"A"	"A"	"A"
"1552718_at"	"A"	"A"	"A"
"1552719_at"	"A"	"A"	"A"
"1552721_a_at"	"A"	"A"	"A"
"1552722_at"	"A"	"A"	"A"
"1552724_at"	"A"	"A"	"P"
"1552725_s_at"	"A"	"A"	"A"
"1552726_at"	"A"	"A"	"A"
"1552727_s_at"	"P"	"A"	"A"
"1552729_at"	"A"	"A"	"A"
"1552730_at"	"A"	"A"	"A"
"1552731_at"	"A"	"A"	"A"
"1552732_at"	"A"	"M"	"A"
"1552733_at"	"A"	"M"	"M"
"1552734_at"	"A"	"A"	"M"
"1552735_at"	"P"	"P"	"P"
"1552736_a_at"	"A"	"A"	"A"
"1552737_s_at"	"A"	"A"	"A"
"1552738_a_at"	"A"	"A"	"P"
"1552739_s_at"	"P"	"A"	"A"
"1552740_at"	"A"	"A"	"A"
"1552742_at"	"A"	"A"	"A"
"1552743_at"	"A"	"A"	"A"
"1552745_at"	"A"	"M"	"A"
"1552747_a_at"	"A"	"A"	"P"
"1552749_a_at"	"A"	"A"	"A"
"1552750_at"	"A"	"A"	"A"
"1552751_a_at"	"A"	"A"	"A"
"1552752_a_at"	"A"	"A"	"P"
"1552754_a_at"	"A"	"A"	"A"
"1552755_at"	"A"	"A"	"A"
"1552757_s_at"	"A"	"A"	"A"
"1552758_at"	"A"	"A"	"A"
"1552760_at"	"A"	"A"	"A"
"1552761_at"	"P"	"A"	"A"
"1552763_at"	"A"	"A"	"A"
"1552765_x_at"	"A"	"A"	"A"
"1552766_at"	"A"	"A"	"A"
"1552767_a_at"	"P"	"A"	"A"
"1552768_at"	"A"	"A"	"A"
"1552769_at"	"A"	"A"	"A"
"1552770_s_at"	"P"	"A"	"A"
"1552771_a_at"	"A"	"A"	"A"
"1552772_at"	"A"	"A"	"A"
"1552773_at"	"M"	"A"	"A"
"1552774_a_at"	"A"	"A"	"A"
"1552775_at"	"A"	"A"	"A"
"1552777_a_at"	"A"	"A"	"A"
"1552779_a_at"	"A"	"A"	"A"
"1552782_at"	"A"	"M"	"A"
"1552783_at"	"A"	"A"	"M"
"1552785_at"	"A"	"A"	"A"
"1552787_at"	"A"	"A"	"A"
"1552788_a_at"	"A"	"A"	"A"
"1552789_at"	"P"	"P"	"P"
"1552790_a_at"	"P"	"P"	"P"
"1552791_a_at"	"P"	"A"	"A"
"1552792_at"	"A"	"A"	"A"
"1552793_at"	"A"	"A"	"A"
"1552794_a_at"	"A"	"A"	"A"
"1552796_a_at"	"A"	"A"	"A"
"1552797_s_at"	"M"	"A"	"A"
"1552798_a_at"	"A"	"A"	"A"
"1552799_at"	"A"	"A"	"A"
"1552800_at"	"A"	"A"	"A"
"1552801_at"	"A"	"A"	"A"
"1552803_a_at"	"A"	"A"	"A"
"1552804_a_at"	"A"	"A"	"A"
"1552806_a_at"	"A"	"A"	"A"
"1552807_a_at"	"A"	"A"	"A"
"1552808_at"	"A"	"A"	"A"
"1552809_at"	"A"	"A"	"A"
"1552811_at"	"A"	"A"	"A"
"1552812_a_at"	"A"	"A"	"A"
"1552813_at"	"A"	"A"	"A"
"1552814_a_at"	"A"	"A"	"A"
"1552816_at"	"A"	"A"	"A"
"1552818_a_at"	"A"	"A"	"A"
"1552819_at"	"A"	"P"	"A"
"1552822_at"	"P"	"P"	"P"
"1552825_at"	"A"	"A"	"A"
"1552826_at"	"A"	"A"	"A"
"1552827_s_at"	"A"	"A"	"A"
"1552828_at"	"A"	"A"	"A"
"1552829_at"	"A"	"A"	"A"
"1552830_at"	"A"	"A"	"A"
"1552833_at"	"A"	"A"	"A"
"1552834_at"	"A"	"A"	"A"
"1552835_at"	"A"	"A"	"A"
"1552836_at"	"A"	"A"	"A"
"1552837_at"	"A"	"A"	"A"
"1552839_at"	"A"	"A"	"A"
"1552841_s_at"	"A"	"A"	"A"
"1552842_at"	"A"	"A"	"A"
"1552843_at"	"A"	"A"	"A"
"1552845_at"	"A"	"A"	"A"
"1552846_s_at"	"A"	"A"	"A"
"1552848_a_at"	"A"	"A"	"A"
"1552849_at"	"A"	"A"	"A"
"1552851_at"	"A"	"A"	"A"
"1552852_a_at"	"A"	"A"	"A"
"1552853_at"	"A"	"A"	"A"
"1552854_a_at"	"A"	"A"	"A"
"1552856_at"	"A"	"A"	"A"
"1552857_a_at"	"A"	"A"	"A"
"1552858_at"	"A"	"A"	"A"
"1552860_at"	"A"	"A"	"A"
"1552862_at"	"A"	"A"	"A"
"1552863_a_at"	"P"	"P"	"P"
"1552865_a_at"	"A"	"A"	"A"
"1552867_at"	"A"	"A"	"A"
"1552868_at"	"A"	"P"	"A"
