"GSM862922_U87.1.CEL.gz"	"GSM862923_U87.2.CEL.gz"	"GSM862924_U87.3.CEL.gz"
"217727_x_at"	"P"	"P"	"P"
"217728_at"	"P"	"P"	"P"
"217729_s_at"	"P"	"P"	"P"
"217730_at"	"P"	"P"	"P"
"217731_s_at"	"P"	"P"	"P"
"217732_s_at"	"P"	"P"	"P"
"217733_s_at"	"P"	"P"	"P"
"217734_s_at"	"P"	"P"	"P"
"217735_s_at"	"A"	"A"	"A"
"217736_s_at"	"P"	"P"	"P"
"217737_x_at"	"P"	"P"	"P"
"217738_at"	"P"	"P"	"P"
"217739_s_at"	"P"	"P"	"P"
"217740_x_at"	"P"	"P"	"P"
"217741_s_at"	"P"	"P"	"P"
"217742_s_at"	"P"	"P"	"P"
"217743_s_at"	"P"	"P"	"P"
"217744_s_at"	"P"	"P"	"P"
"217745_s_at"	"P"	"P"	"P"
"217746_s_at"	"P"	"P"	"P"
"217747_s_at"	"P"	"P"	"P"
"217748_at"	"P"	"P"	"P"
"217749_at"	"P"	"P"	"P"
"217750_s_at"	"P"	"P"	"P"
"217751_at"	"P"	"P"	"P"
"217752_s_at"	"P"	"P"	"P"
"217753_s_at"	"P"	"P"	"P"
"217754_at"	"P"	"P"	"P"
"217755_at"	"P"	"P"	"P"
"217756_x_at"	"P"	"P"	"P"
"217757_at"	"A"	"A"	"A"
"217758_s_at"	"P"	"P"	"P"
"217759_at"	"P"	"P"	"P"
"217760_at"	"P"	"P"	"P"
"217761_at"	"P"	"P"	"P"
"217762_s_at"	"P"	"P"	"P"
"217763_s_at"	"P"	"P"	"P"
"217764_s_at"	"P"	"P"	"P"
"217765_at"	"P"	"M"	"P"
"217766_s_at"	"P"	"P"	"P"
"217767_at"	"P"	"P"	"P"
"217768_at"	"P"	"P"	"P"
"217769_s_at"	"P"	"P"	"P"
"217770_at"	"A"	"A"	"A"
"217771_at"	"P"	"P"	"P"
"217772_s_at"	"P"	"P"	"P"
"217773_s_at"	"P"	"P"	"P"
"217774_s_at"	"P"	"P"	"P"
"217775_s_at"	"P"	"P"	"P"
"217776_at"	"P"	"P"	"P"
"217777_s_at"	"P"	"P"	"P"
"217778_at"	"P"	"M"	"P"
"217779_s_at"	"P"	"P"	"P"
"217780_at"	"P"	"P"	"P"
"217781_s_at"	"P"	"P"	"P"
"217782_s_at"	"M"	"A"	"A"
"217783_s_at"	"P"	"P"	"P"
"217784_at"	"P"	"P"	"P"
"217785_s_at"	"P"	"P"	"P"
"217786_at"	"P"	"A"	"M"
"217787_s_at"	"P"	"P"	"P"
"217788_s_at"	"P"	"P"	"P"
"217789_at"	"P"	"A"	"A"
"217790_s_at"	"P"	"P"	"P"
"217791_s_at"	"P"	"P"	"P"
"217792_at"	"P"	"P"	"P"
"217793_at"	"M"	"A"	"A"
"217794_at"	"P"	"P"	"P"
"217795_s_at"	"P"	"P"	"P"
"217796_s_at"	"P"	"P"	"P"
"217797_at"	"P"	"P"	"P"
"217798_at"	"P"	"P"	"P"
"217799_x_at"	"A"	"A"	"A"
"217800_s_at"	"P"	"P"	"P"
"217801_at"	"P"	"P"	"P"
"217802_s_at"	"P"	"P"	"P"
"217803_at"	"P"	"P"	"P"
"217804_s_at"	"P"	"P"	"P"
"217805_at"	"P"	"P"	"P"
"217806_s_at"	"P"	"P"	"P"
"217807_s_at"	"P"	"P"	"P"
"217808_s_at"	"P"	"P"	"P"
"217809_at"	"P"	"P"	"P"
"217810_x_at"	"P"	"P"	"P"
"217811_at"	"P"	"P"	"P"
"217812_at"	"P"	"P"	"P"
"217813_s_at"	"P"	"P"	"P"
"217814_at"	"P"	"P"	"P"
"217815_at"	"P"	"P"	"P"
"217816_s_at"	"P"	"P"	"P"
"217817_at"	"P"	"P"	"P"
"217818_s_at"	"A"	"A"	"A"
"217819_at"	"P"	"P"	"P"
"217820_s_at"	"P"	"P"	"P"
"217821_s_at"	"P"	"P"	"P"
"217822_at"	"P"	"P"	"P"
"217823_s_at"	"P"	"P"	"P"
"217824_at"	"P"	"P"	"P"
"217825_s_at"	"P"	"P"	"P"
"217826_s_at"	"P"	"P"	"P"
"217827_s_at"	"P"	"P"	"P"
"217828_at"	"P"	"P"	"P"
"217829_s_at"	"P"	"P"	"P"
"217830_s_at"	"P"	"P"	"P"
"217831_s_at"	"A"	"M"	"A"
"217832_at"	"P"	"P"	"P"
"217833_at"	"P"	"P"	"P"
"217834_s_at"	"P"	"P"	"P"
"217835_x_at"	"P"	"P"	"P"
"217836_s_at"	"P"	"P"	"P"
"217837_s_at"	"P"	"P"	"P"
"217838_s_at"	"A"	"P"	"A"
"217839_at"	"P"	"P"	"P"
"217840_at"	"P"	"P"	"P"
"217841_s_at"	"P"	"P"	"P"
"217842_at"	"P"	"P"	"P"
"217843_s_at"	"P"	"P"	"P"
"217844_at"	"M"	"A"	"A"
"217845_x_at"	"P"	"P"	"P"
"217846_at"	"P"	"P"	"P"
"217847_s_at"	"A"	"A"	"A"
"217848_s_at"	"P"	"P"	"P"
"217849_s_at"	"P"	"P"	"P"
"217850_at"	"P"	"P"	"P"
"217851_s_at"	"P"	"P"	"P"
"217852_s_at"	"P"	"P"	"P"
"217853_at"	"P"	"P"	"P"
"217854_s_at"	"P"	"P"	"P"
"217855_x_at"	"P"	"P"	"P"
"217856_at"	"A"	"A"	"A"
"217857_s_at"	"A"	"A"	"A"
"217858_s_at"	"P"	"P"	"P"
"217859_s_at"	"A"	"P"	"A"
"217860_at"	"P"	"P"	"P"
"217861_s_at"	"P"	"P"	"P"
"217862_at"	"P"	"P"	"P"
"217863_at"	"P"	"P"	"P"
"217864_s_at"	"P"	"P"	"P"
"217865_at"	"A"	"M"	"A"
"217866_at"	"M"	"M"	"A"
"217867_x_at"	"P"	"P"	"P"
"217868_s_at"	"P"	"P"	"P"
"217869_at"	"P"	"P"	"P"
"217870_s_at"	"P"	"P"	"P"
"217871_s_at"	"P"	"P"	"P"
"217872_at"	"P"	"P"	"P"
"217873_at"	"P"	"P"	"P"
"217874_at"	"P"	"P"	"P"
"217875_s_at"	"A"	"A"	"A"
"217876_at"	"A"	"A"	"A"
"217877_s_at"	"P"	"P"	"P"
"217878_s_at"	"A"	"A"	"A"
"217879_at"	"P"	"P"	"P"
"217880_at"	"P"	"P"	"P"
"217881_s_at"	"P"	"P"	"P"
"217882_at"	"P"	"P"	"P"
"217883_at"	"P"	"P"	"P"
"217884_at"	"P"	"P"	"P"
"217885_at"	"P"	"P"	"P"
"217886_at"	"P"	"P"	"P"
"217887_s_at"	"P"	"P"	"P"
"217888_s_at"	"P"	"P"	"P"
"217889_s_at"	"A"	"A"	"A"
"217890_s_at"	"A"	"M"	"A"
"217891_at"	"M"	"A"	"A"
"217892_s_at"	"P"	"P"	"P"
"217893_s_at"	"P"	"P"	"P"
"217894_at"	"P"	"P"	"P"
"217895_at"	"P"	"P"	"P"
"217896_s_at"	"P"	"P"	"P"
"217897_at"	"A"	"A"	"A"
"217898_at"	"P"	"P"	"P"
"217899_at"	"P"	"P"	"P"
"217900_at"	"P"	"P"	"P"
"217901_at"	"P"	"P"	"P"
"217902_s_at"	"P"	"P"	"P"
"217903_at"	"A"	"P"	"P"
"217904_s_at"	"A"	"P"	"A"
"217905_at"	"P"	"P"	"P"
"217906_at"	"P"	"P"	"P"
"217907_at"	"P"	"P"	"P"
"217908_s_at"	"P"	"P"	"P"
"217909_s_at"	"P"	"M"	"A"
"217910_x_at"	"P"	"P"	"P"
"217911_s_at"	"P"	"P"	"P"
"217912_at"	"P"	"P"	"P"
"217913_at"	"P"	"P"	"P"
"217914_at"	"P"	"P"	"P"
"217915_s_at"	"P"	"P"	"P"
"217916_s_at"	"P"	"P"	"P"
"217917_s_at"	"P"	"P"	"P"
"217918_at"	"P"	"P"	"P"
"217919_s_at"	"P"	"P"	"P"
"217920_at"	"P"	"A"	"A"
"217921_at"	"P"	"P"	"P"
"217922_at"	"P"	"P"	"P"
"217923_at"	"P"	"P"	"P"
"217924_at"	"A"	"A"	"A"
"217925_s_at"	"P"	"A"	"A"
"217926_at"	"P"	"P"	"P"
"217927_at"	"P"	"P"	"P"
"217928_s_at"	"P"	"P"	"P"
"217929_s_at"	"A"	"A"	"A"
"217930_s_at"	"P"	"P"	"P"
"217931_at"	"A"	"A"	"M"
"217932_at"	"P"	"P"	"P"
"217933_s_at"	"P"	"P"	"P"
"217934_x_at"	"P"	"P"	"P"
"217935_s_at"	"P"	"P"	"P"
"217936_at"	"P"	"P"	"P"
"217937_s_at"	"A"	"A"	"A"
"217938_s_at"	"P"	"P"	"P"
"217939_s_at"	"P"	"P"	"P"
"217940_s_at"	"P"	"P"	"P"
"217941_s_at"	"P"	"P"	"P"
"217942_at"	"P"	"P"	"P"
"217943_s_at"	"P"	"P"	"P"
"217944_at"	"P"	"P"	"P"
"217945_at"	"P"	"P"	"P"
"217946_s_at"	"P"	"P"	"P"
"217947_at"	"P"	"P"	"P"
"217948_at"	"P"	"P"	"P"
"217949_s_at"	"P"	"P"	"P"
"217950_at"	"P"	"P"	"P"
"217951_s_at"	"P"	"A"	"P"
"217952_x_at"	"P"	"P"	"P"
"217953_at"	"A"	"A"	"A"
"217954_s_at"	"P"	"P"	"P"
"217955_at"	"P"	"P"	"P"
"217956_s_at"	"P"	"P"	"P"
"217957_at"	"P"	"P"	"P"
"217958_at"	"P"	"P"	"P"
"217959_s_at"	"P"	"P"	"P"
"217960_s_at"	"P"	"P"	"P"
"217961_at"	"P"	"P"	"P"
"217962_at"	"P"	"P"	"P"
"217963_s_at"	"P"	"P"	"P"
"217964_at"	"P"	"P"	"P"
"217965_s_at"	"P"	"P"	"P"
"217966_s_at"	"P"	"P"	"P"
"217967_s_at"	"P"	"P"	"P"
"217968_at"	"P"	"P"	"P"
"217969_at"	"P"	"P"	"P"
"217970_s_at"	"P"	"P"	"P"
"217971_at"	"P"	"P"	"P"
"217972_at"	"P"	"P"	"P"
"217973_at"	"P"	"P"	"A"
"217974_at"	"P"	"P"	"P"
"217975_at"	"P"	"P"	"P"
"217976_s_at"	"P"	"P"	"P"
"217977_at"	"A"	"A"	"A"
"217978_s_at"	"P"	"P"	"P"
"217979_at"	"P"	"P"	"P"
"217980_s_at"	"P"	"P"	"P"
"217981_s_at"	"P"	"A"	"P"
"217982_s_at"	"P"	"P"	"P"
"217983_s_at"	"P"	"P"	"P"
"217984_at"	"P"	"P"	"P"
"217985_s_at"	"P"	"P"	"P"
"217986_s_at"	"P"	"P"	"P"
"217987_at"	"P"	"P"	"P"
"217988_at"	"P"	"P"	"P"
"217989_at"	"P"	"P"	"P"
"217990_at"	"P"	"P"	"P"
"217991_x_at"	"P"	"P"	"P"
"217992_s_at"	"P"	"P"	"P"
"217993_s_at"	"P"	"P"	"P"
"217994_x_at"	"P"	"P"	"P"
"217995_at"	"P"	"P"	"P"
"217996_at"	"P"	"P"	"P"
"217997_at"	"P"	"P"	"P"
"217998_at"	"P"	"P"	"P"
"217999_s_at"	"P"	"P"	"P"
"218000_s_at"	"A"	"M"	"P"
"218001_at"	"P"	"P"	"P"
"218002_s_at"	"A"	"A"	"A"
"218003_s_at"	"P"	"P"	"P"
"218004_at"	"P"	"M"	"P"
"218005_at"	"P"	"P"	"P"
"218006_s_at"	"P"	"P"	"P"
"218007_s_at"	"P"	"P"	"P"
"218008_at"	"P"	"P"	"P"
"218009_s_at"	"P"	"P"	"P"
"218010_x_at"	"A"	"A"	"A"
"218011_at"	"P"	"P"	"P"
"218012_at"	"A"	"P"	"A"
"218013_x_at"	"P"	"P"	"P"
"218014_at"	"P"	"P"	"P"
"218015_s_at"	"A"	"A"	"A"
"218016_s_at"	"P"	"P"	"P"
"218017_s_at"	"P"	"P"	"P"
"218018_at"	"P"	"P"	"P"
"218019_s_at"	"P"	"P"	"P"
"218020_s_at"	"P"	"P"	"P"
"218021_at"	"A"	"A"	"M"
"218022_at"	"A"	"A"	"A"
"218023_s_at"	"P"	"P"	"P"
"218024_at"	"P"	"P"	"P"
"218025_s_at"	"P"	"P"	"P"
"218026_at"	"P"	"P"	"P"
"218027_at"	"P"	"P"	"P"
"218028_at"	"M"	"A"	"M"
"218029_at"	"A"	"A"	"A"
"218030_at"	"A"	"P"	"P"
"218031_s_at"	"A"	"A"	"A"
"218032_at"	"P"	"P"	"A"
"218033_s_at"	"P"	"A"	"A"
"218034_at"	"P"	"P"	"P"
"218035_s_at"	"P"	"P"	"P"
"218036_x_at"	"P"	"P"	"P"
"218037_at"	"P"	"P"	"P"
"218038_at"	"A"	"A"	"A"
"218039_at"	"P"	"P"	"P"
"218040_at"	"P"	"P"	"P"
"218041_x_at"	"P"	"P"	"P"
"218042_at"	"P"	"P"	"P"
"218043_s_at"	"P"	"P"	"P"
"218044_x_at"	"A"	"A"	"A"
"218045_x_at"	"A"	"A"	"A"
"218046_s_at"	"P"	"P"	"P"
"218047_at"	"P"	"P"	"P"
"218048_at"	"P"	"P"	"P"
"218049_s_at"	"P"	"P"	"P"
"218050_at"	"P"	"P"	"P"
"218051_s_at"	"P"	"P"	"P"
"218052_s_at"	"P"	"P"	"P"
"218053_at"	"P"	"P"	"P"
"218054_s_at"	"A"	"A"	"A"
"218055_s_at"	"P"	"P"	"P"
"218056_at"	"P"	"P"	"P"
"218057_x_at"	"P"	"P"	"P"
"218058_at"	"A"	"A"	"A"
"218059_at"	"P"	"P"	"P"
"218060_s_at"	"M"	"P"	"A"
"218061_at"	"P"	"P"	"P"
"218062_x_at"	"P"	"P"	"P"
"218063_s_at"	"A"	"A"	"A"
"218064_s_at"	"A"	"A"	"M"
"218065_s_at"	"P"	"P"	"P"
"218066_at"	"P"	"A"	"A"
"218067_s_at"	"P"	"P"	"P"
"218068_s_at"	"P"	"P"	"P"
"218069_at"	"P"	"P"	"P"
"218070_s_at"	"P"	"P"	"P"
"218071_s_at"	"M"	"P"	"P"
"218072_at"	"P"	"P"	"P"
"218073_s_at"	"P"	"P"	"P"
"218074_at"	"P"	"P"	"P"
"218075_at"	"A"	"A"	"A"
"218076_s_at"	"P"	"P"	"P"
"218077_s_at"	"P"	"P"	"P"
"218078_s_at"	"P"	"P"	"P"
"218079_s_at"	"P"	"P"	"P"
"218080_x_at"	"A"	"A"	"A"
"218081_at"	"A"	"A"	"A"
"218082_s_at"	"P"	"P"	"P"
"218083_at"	"A"	"A"	"A"
"218084_x_at"	"P"	"P"	"P"
"218085_at"	"P"	"P"	"P"
"218086_at"	"A"	"A"	"A"
"218087_s_at"	"A"	"A"	"A"
"218088_s_at"	"P"	"P"	"P"
"218089_at"	"P"	"P"	"P"
"218090_s_at"	"P"	"P"	"P"
"218091_at"	"P"	"P"	"P"
"218092_s_at"	"P"	"P"	"P"
"218093_s_at"	"P"	"P"	"P"
"218094_s_at"	"P"	"P"	"P"
"218095_s_at"	"P"	"P"	"P"
"218096_at"	"P"	"P"	"P"
"218097_s_at"	"P"	"P"	"P"
"218098_at"	"P"	"P"	"P"
"218099_at"	"P"	"P"	"P"
"218100_s_at"	"P"	"P"	"P"
"218101_s_at"	"P"	"P"	"P"
"218102_at"	"P"	"P"	"P"
"218103_at"	"P"	"P"	"P"
"218104_at"	"P"	"P"	"P"
"218105_s_at"	"P"	"P"	"P"
"218106_s_at"	"P"	"P"	"P"
"218107_at"	"P"	"P"	"P"
"218108_at"	"P"	"P"	"P"
"218109_s_at"	"P"	"P"	"P"
"218110_at"	"A"	"A"	"A"
"218111_s_at"	"P"	"P"	"P"
"218112_at"	"P"	"P"	"A"
"218113_at"	"A"	"A"	"M"
"218114_at"	"A"	"P"	"M"
"218115_at"	"P"	"P"	"P"
"218116_at"	"P"	"P"	"P"
"218117_at"	"P"	"P"	"P"
"218118_s_at"	"P"	"P"	"P"
"218119_at"	"P"	"P"	"P"
"218120_s_at"	"P"	"P"	"P"
"218121_at"	"A"	"A"	"A"
"218122_s_at"	"P"	"A"	"P"
"218123_at"	"P"	"P"	"P"
"218124_at"	"P"	"A"	"M"
"218125_s_at"	"M"	"P"	"A"
"218126_at"	"P"	"P"	"P"
"218127_at"	"P"	"P"	"P"
"218128_at"	"P"	"P"	"P"
"218129_s_at"	"P"	"P"	"P"
"218130_at"	"P"	"P"	"P"
"218131_s_at"	"P"	"P"	"P"
"218132_s_at"	"P"	"P"	"P"
"218133_s_at"	"P"	"P"	"P"
"218134_s_at"	"P"	"P"	"P"
"218135_at"	"P"	"P"	"P"
"218136_s_at"	"P"	"P"	"P"
"218137_s_at"	"P"	"P"	"P"
"218138_at"	"P"	"P"	"P"
"218139_s_at"	"P"	"P"	"P"
"218140_x_at"	"P"	"P"	"P"
"218141_at"	"A"	"A"	"A"
"218142_s_at"	"P"	"P"	"A"
"218143_s_at"	"P"	"P"	"P"
"218144_s_at"	"M"	"P"	"M"
"218145_at"	"P"	"P"	"P"
"218146_at"	"P"	"P"	"P"
"218147_s_at"	"P"	"P"	"P"
"218148_at"	"A"	"A"	"A"
"218149_s_at"	"P"	"P"	"P"
"218150_at"	"P"	"P"	"P"
"218151_x_at"	"P"	"P"	"P"
"218152_at"	"P"	"P"	"P"
"218153_at"	"P"	"P"	"P"
"218154_at"	"P"	"A"	"P"
"218155_x_at"	"P"	"P"	"P"
"218156_s_at"	"P"	"P"	"P"
"218157_x_at"	"P"	"P"	"P"
"218158_s_at"	"P"	"P"	"P"
"218159_at"	"A"	"A"	"A"
"218160_at"	"P"	"P"	"P"
"218161_s_at"	"A"	"A"	"A"
"218162_at"	"M"	"A"	"A"
"218163_at"	"P"	"P"	"P"
"218164_at"	"P"	"P"	"P"
"218165_at"	"P"	"P"	"P"
"218166_s_at"	"P"	"P"	"P"
"218167_at"	"P"	"P"	"P"
"218168_s_at"	"A"	"A"	"A"
"218169_at"	"A"	"A"	"A"
"218170_at"	"P"	"P"	"P"
"218171_at"	"P"	"P"	"P"
"218172_s_at"	"P"	"P"	"P"
"218173_s_at"	"A"	"A"	"A"
"218174_s_at"	"P"	"P"	"P"
"218175_at"	"P"	"P"	"P"
"218176_at"	"A"	"P"	"A"
"218177_at"	"A"	"A"	"P"
"218178_s_at"	"P"	"P"	"P"
"218179_s_at"	"P"	"P"	"P"
"218180_s_at"	"A"	"A"	"A"
"218181_s_at"	"P"	"P"	"P"
"218182_s_at"	"A"	"A"	"A"
"218183_at"	"A"	"A"	"A"
"218184_at"	"P"	"P"	"P"
"218185_s_at"	"P"	"P"	"P"
"218186_at"	"A"	"A"	"A"
"218187_s_at"	"P"	"P"	"P"
"218188_s_at"	"P"	"P"	"P"
"218189_s_at"	"P"	"P"	"P"
"218190_s_at"	"P"	"P"	"P"
"218191_s_at"	"P"	"P"	"P"
"218192_at"	"P"	"A"	"M"
"218193_s_at"	"P"	"P"	"P"
"218194_at"	"P"	"P"	"P"
"218195_at"	"P"	"P"	"P"
"218196_at"	"P"	"P"	"P"
"218197_s_at"	"P"	"P"	"P"
"218198_at"	"P"	"P"	"P"
"218199_s_at"	"A"	"A"	"A"
"218200_s_at"	"P"	"P"	"P"
"218201_at"	"P"	"P"	"P"
"218202_x_at"	"P"	"P"	"P"
"218203_at"	"P"	"P"	"P"
"218204_s_at"	"P"	"P"	"P"
"218205_s_at"	"P"	"P"	"P"
"218206_x_at"	"P"	"P"	"P"
"218207_s_at"	"A"	"A"	"A"
"218208_at"	"P"	"P"	"P"
"218209_s_at"	"P"	"P"	"P"
"218210_at"	"P"	"P"	"P"
"218211_s_at"	"P"	"P"	"P"
"218212_s_at"	"P"	"P"	"P"
"218213_s_at"	"P"	"P"	"P"
"218214_at"	"P"	"P"	"P"
"218215_s_at"	"P"	"P"	"P"
"218216_x_at"	"P"	"P"	"P"
"218217_at"	"P"	"P"	"P"
"218218_at"	"P"	"P"	"P"
"218219_s_at"	"P"	"P"	"P"
"218220_at"	"P"	"P"	"P"
"218221_at"	"P"	"P"	"P"
"218222_x_at"	"A"	"A"	"A"
"218223_s_at"	"P"	"P"	"P"
"218224_at"	"P"	"P"	"P"
"218225_at"	"P"	"P"	"P"
"218226_s_at"	"P"	"P"	"P"
"218227_at"	"A"	"A"	"A"
"218228_s_at"	"P"	"P"	"P"
"218229_s_at"	"P"	"P"	"A"
"218230_at"	"P"	"P"	"P"
"218231_at"	"P"	"P"	"P"
"218232_at"	"A"	"A"	"A"
"218233_s_at"	"P"	"P"	"P"
"218234_at"	"A"	"A"	"A"
"218235_s_at"	"P"	"P"	"P"
"218236_s_at"	"P"	"P"	"P"
"218237_s_at"	"P"	"P"	"P"
"218238_at"	"P"	"P"	"P"
"218239_s_at"	"P"	"P"	"P"
"218240_at"	"M"	"P"	"P"
"218241_at"	"P"	"P"	"P"
"218242_s_at"	"A"	"P"	"P"
"218243_at"	"P"	"P"	"P"
"218244_at"	"P"	"P"	"P"
"218245_at"	"A"	"A"	"A"
"218246_at"	"A"	"A"	"A"
"218247_s_at"	"P"	"P"	"P"
"218248_at"	"P"	"P"	"P"
"218249_at"	"P"	"P"	"P"
"218250_s_at"	"P"	"P"	"P"
"218251_at"	"P"	"P"	"P"
"218252_at"	"P"	"P"	"P"
"218253_s_at"	"P"	"P"	"P"
"218254_s_at"	"P"	"P"	"P"
"218255_s_at"	"M"	"A"	"P"
"218256_s_at"	"P"	"P"	"P"
"218257_s_at"	"P"	"P"	"P"
"218258_at"	"P"	"P"	"P"
"218259_at"	"P"	"P"	"P"
"218260_at"	"P"	"P"	"P"
"218261_at"	"A"	"A"	"A"
"218262_at"	"P"	"P"	"P"
"218263_s_at"	"P"	"P"	"P"
"218264_at"	"P"	"P"	"P"
"218265_at"	"P"	"P"	"P"
"218266_s_at"	"M"	"A"	"A"
"218267_at"	"P"	"P"	"P"
"218268_at"	"P"	"P"	"P"
"218269_at"	"P"	"P"	"P"
"218270_at"	"P"	"P"	"P"
"218271_s_at"	"P"	"P"	"P"
"218272_at"	"A"	"A"	"A"
"218273_s_at"	"P"	"P"	"P"
"218274_s_at"	"A"	"A"	"A"
"218275_at"	"P"	"M"	"A"
"218276_s_at"	"P"	"M"	"A"
"218277_s_at"	"P"	"P"	"P"
"218278_at"	"P"	"A"	"P"
"218279_s_at"	"A"	"A"	"P"
"218280_x_at"	"P"	"P"	"P"
"218281_at"	"P"	"P"	"P"
"218282_at"	"P"	"P"	"P"
"218283_at"	"P"	"P"	"P"
"218284_at"	"P"	"P"	"P"
"218285_s_at"	"P"	"P"	"P"
"218286_s_at"	"P"	"P"	"P"
"218287_s_at"	"P"	"P"	"P"
"218288_s_at"	"P"	"P"	"P"
"218289_s_at"	"P"	"P"	"P"
"218290_at"	"P"	"P"	"P"
"218291_at"	"P"	"P"	"P"
"218292_s_at"	"P"	"P"	"P"
"218293_x_at"	"A"	"A"	"A"
"218294_s_at"	"P"	"P"	"P"
"218295_s_at"	"P"	"P"	"P"
"218296_x_at"	"A"	"A"	"P"
"218297_at"	"P"	"P"	"P"
"218298_s_at"	"P"	"P"	"P"
"218299_at"	"A"	"A"	"A"
"218300_at"	"P"	"A"	"A"
"218301_at"	"P"	"P"	"P"
"218302_at"	"P"	"P"	"P"
"218303_x_at"	"P"	"P"	"P"
"218304_s_at"	"P"	"P"	"P"
"218305_at"	"P"	"P"	"P"
"218306_s_at"	"P"	"P"	"P"
"218307_at"	"P"	"P"	"P"
"218308_at"	"P"	"P"	"P"
"218309_at"	"P"	"P"	"P"
"218310_at"	"P"	"P"	"P"
"218311_at"	"P"	"P"	"P"
"218312_s_at"	"A"	"A"	"A"
"218313_s_at"	"P"	"P"	"P"
"218314_s_at"	"P"	"P"	"P"
"218315_s_at"	"P"	"P"	"P"
"218316_at"	"P"	"P"	"P"
"218317_x_at"	"P"	"P"	"P"
"218318_s_at"	"P"	"M"	"P"
"218319_at"	"P"	"P"	"P"
"218320_s_at"	"P"	"P"	"P"
"218321_x_at"	"P"	"P"	"P"
"218322_s_at"	"A"	"A"	"A"
"218323_at"	"P"	"P"	"P"
"218324_s_at"	"P"	"P"	"P"
"218325_s_at"	"A"	"A"	"A"
"218326_s_at"	"P"	"P"	"P"
"218327_s_at"	"P"	"P"	"P"
"218328_at"	"P"	"P"	"P"
"218329_at"	"P"	"P"	"P"
"218330_s_at"	"P"	"P"	"P"
"218331_s_at"	"P"	"P"	"P"
"218332_at"	"P"	"P"	"P"
"218333_at"	"P"	"P"	"P"
"218334_at"	"P"	"P"	"P"
"218335_x_at"	"A"	"A"	"A"
"218336_at"	"P"	"P"	"P"
"218337_at"	"A"	"P"	"P"
"218338_at"	"A"	"A"	"A"
"218339_at"	"P"	"P"	"P"
"218340_s_at"	"P"	"P"	"P"
"218341_at"	"P"	"P"	"P"
"218342_s_at"	"A"	"A"	"A"
"218343_s_at"	"P"	"P"	"P"
"218344_s_at"	"P"	"A"	"P"
"218345_at"	"A"	"A"	"A"
"218346_s_at"	"M"	"A"	"A"
"218347_at"	"P"	"P"	"P"
"218348_s_at"	"P"	"P"	"P"
"218349_s_at"	"P"	"P"	"P"
"218350_s_at"	"P"	"P"	"P"
"218351_at"	"P"	"P"	"P"
"218352_at"	"P"	"P"	"P"
"218353_at"	"A"	"A"	"A"
"218354_at"	"P"	"P"	"P"
"218355_at"	"P"	"P"	"P"
"218356_at"	"P"	"P"	"P"
"218357_s_at"	"P"	"P"	"P"
"218358_at"	"P"	"P"	"P"
"218359_at"	"A"	"A"	"A"
"218360_at"	"P"	"P"	"P"
"218361_at"	"P"	"P"	"P"
"218362_s_at"	"P"	"P"	"P"
"218363_at"	"A"	"A"	"A"
"218364_at"	"P"	"P"	"P"
"218365_s_at"	"P"	"P"	"A"
"218366_x_at"	"P"	"P"	"P"
"218367_x_at"	"A"	"P"	"A"
"218368_s_at"	"P"	"P"	"P"
"218369_s_at"	"A"	"A"	"A"
"218370_s_at"	"P"	"P"	"P"
"218371_s_at"	"P"	"P"	"P"
"218372_at"	"M"	"A"	"M"
"218373_at"	"P"	"P"	"A"
"218374_s_at"	"P"	"P"	"P"
"218375_at"	"P"	"P"	"P"
"218376_s_at"	"A"	"A"	"P"
"218377_s_at"	"P"	"P"	"P"
"218378_s_at"	"A"	"P"	"A"
"218379_at"	"P"	"P"	"P"
"218380_at"	"P"	"P"	"A"
"218381_s_at"	"P"	"P"	"P"
"218382_s_at"	"A"	"A"	"A"
"218383_at"	"P"	"P"	"P"
"218384_at"	"P"	"P"	"P"
"218385_at"	"P"	"P"	"P"
"218386_x_at"	"P"	"P"	"P"
"218387_s_at"	"P"	"P"	"P"
"218388_at"	"P"	"P"	"P"
"218389_s_at"	"P"	"P"	"P"
"218390_s_at"	"M"	"A"	"A"
"218391_at"	"P"	"P"	"P"
"218392_x_at"	"P"	"P"	"P"
"218393_s_at"	"P"	"P"	"P"
"218394_at"	"A"	"A"	"A"
"218395_at"	"P"	"P"	"P"
"218396_at"	"P"	"P"	"P"
"218397_at"	"P"	"P"	"P"
"218398_at"	"P"	"P"	"P"
"218399_s_at"	"P"	"P"	"P"
"218400_at"	"A"	"A"	"A"
"218401_s_at"	"P"	"P"	"P"
"218402_s_at"	"A"	"A"	"A"
"218403_at"	"P"	"P"	"P"
"218404_at"	"A"	"A"	"A"
"218405_at"	"A"	"A"	"A"
"218406_x_at"	"A"	"A"	"A"
"218407_x_at"	"P"	"P"	"P"
"218408_at"	"P"	"P"	"P"
"218409_s_at"	"M"	"P"	"P"
"218410_s_at"	"A"	"A"	"A"
"218411_s_at"	"P"	"M"	"P"
"218412_s_at"	"P"	"P"	"M"
"218413_s_at"	"A"	"A"	"A"
"218414_s_at"	"A"	"P"	"A"
"218415_at"	"P"	"A"	"A"
"218416_s_at"	"A"	"A"	"A"
"218417_s_at"	"A"	"A"	"A"
"218418_s_at"	"P"	"P"	"P"
"218419_s_at"	"A"	"P"	"A"
"218420_s_at"	"P"	"P"	"P"
"218421_at"	"P"	"P"	"P"
