"GSM34592.CEL.gz"	"GSM34593.CEL.gz"	"GSM34594.CEL.gz"
"1214_s_at"	"A"	"A"	"A"
"1217_g_at"	"A"	"A"	"A"
"1218_at"	"P"	"P"	"P"
"1219_at"	"A"	"A"	"A"
"122_at"	"P"	"P"	"P"
"1220_g_at"	"P"	"P"	"P"
"1221_at"	"P"	"P"	"P"
"1222_at"	"P"	"P"	"P"
"1223_at"	"A"	"A"	"A"
"1224_at"	"P"	"P"	"P"
"1225_g_at"	"P"	"P"	"P"
"1226_at"	"P"	"P"	"P"
"1227_g_at"	"P"	"A"	"A"
"1228_s_at"	"P"	"P"	"P"
"1229_at"	"P"	"P"	"P"
"123_at"	"P"	"M"	"A"
"1230_g_at"	"P"	"P"	"P"
"1231_at"	"P"	"P"	"P"
"1232_s_at"	"P"	"P"	"P"
"1233_s_at"	"A"	"A"	"A"
"1234_at"	"A"	"A"	"A"
"1235_at"	"P"	"P"	"P"
"1236_s_at"	"A"	"A"	"A"
"1237_at"	"P"	"P"	"P"
"1238_at"	"P"	"P"	"P"
"1239_s_at"	"A"	"A"	"A"
"1240_at"	"P"	"P"	"P"
"1241_at"	"P"	"P"	"P"
"1242_at"	"P"	"P"	"P"
"1243_at"	"P"	"P"	"P"
"1244_at"	"P"	"P"	"P"
"1245_i_at"	"P"	"P"	"P"
"1246_at"	"A"	"A"	"A"
"1247_g_at"	"A"	"A"	"A"
"1248_at"	"P"	"P"	"P"
"1249_at"	"P"	"A"	"A"
"1250_at"	"P"	"P"	"P"
"1251_g_at"	"A"	"A"	"A"
"1252_at"	"P"	"P"	"P"
"1253_at"	"P"	"P"	"P"
"1254_at"	"A"	"A"	"A"
"1255_g_at"	"A"	"A"	"A"
"1256_at"	"A"	"A"	"A"
"1257_s_at"	"P"	"P"	"P"
"1258_s_at"	"P"	"P"	"P"
"1259_at"	"P"	"A"	"P"
"126_s_at"	"M"	"A"	"A"
"1260_s_at"	"A"	"A"	"A"
"1261_i_at"	"A"	"A"	"A"
"1262_s_at"	"P"	"P"	"P"
"1263_at"	"A"	"A"	"A"
"1264_at"	"P"	"P"	"P"
"1265_g_at"	"P"	"P"	"P"
"1266_s_at"	"A"	"A"	"A"
"1267_at"	"A"	"A"	"A"
"1268_at"	"P"	"P"	"P"
"1269_at"	"A"	"M"	"A"
"1270_at"	"P"	"A"	"A"
"1271_g_at"	"P"	"P"	"P"
"1272_at"	"P"	"P"	"P"
"1273_r_at"	"M"	"A"	"A"
"1274_s_at"	"P"	"P"	"P"
"1275_at"	"P"	"P"	"P"
"1276_g_at"	"P"	"P"	"P"
"1277_at"	"A"	"A"	"A"
"1278_at"	"P"	"P"	"P"
"1279_s_at"	"A"	"A"	"A"
"128_at"	"P"	"P"	"P"
"1280_i_at"	"A"	"A"	"M"
"1281_f_at"	"A"	"A"	"M"
"1282_s_at"	"A"	"A"	"A"
"1283_at"	"A"	"A"	"A"
"1284_at"	"P"	"P"	"P"
"1285_at"	"A"	"A"	"A"
"1286_s_at"	"A"	"A"	"A"
"1287_at"	"P"	"P"	"P"
"1288_s_at"	"P"	"P"	"P"
"1289_at"	"A"	"A"	"A"
"129_g_at"	"P"	"P"	"P"
"1290_g_at"	"A"	"A"	"A"
"1291_s_at"	"A"	"A"	"A"
"1292_at"	"A"	"A"	"A"
"1293_s_at"	"A"	"A"	"A"
"1294_at"	"P"	"P"	"P"
"1295_at"	"P"	"P"	"P"
"1296_at"	"A"	"A"	"A"
"1297_at"	"A"	"A"	"A"
"1298_at"	"A"	"A"	"A"
"1299_at"	"P"	"P"	"P"
"130_s_at"	"A"	"A"	"A"
"1300_at"	"P"	"P"	"P"
"1303_at"	"A"	"A"	"A"
"1304_at"	"A"	"A"	"A"
"1305_s_at"	"A"	"A"	"A"
"1306_at"	"P"	"P"	"P"
"1307_at"	"P"	"P"	"P"
"1308_g_at"	"P"	"A"	"A"
"1309_at"	"P"	"P"	"P"
"131_at"	"P"	"P"	"P"
"1310_at"	"P"	"P"	"P"
"1311_at"	"P"	"P"	"P"
"1312_at"	"P"	"P"	"P"
"1313_at"	"P"	"P"	"P"
"1314_at"	"P"	"P"	"P"
"1315_at"	"P"	"P"	"P"
"1316_at"	"P"	"P"	"P"
"1317_at"	"A"	"A"	"A"
"1318_at"	"P"	"P"	"P"
"1319_at"	"P"	"P"	"P"
"1320_at"	"A"	"A"	"A"
"1321_s_at"	"P"	"P"	"P"
"1322_at"	"P"	"P"	"P"
"1323_at"	"P"	"P"	"P"
"1324_at"	"A"	"A"	"A"
"1325_at"	"P"	"P"	"P"
"1326_at"	"P"	"P"	"P"
"1327_s_at"	"P"	"P"	"P"
"1328_at"	"P"	"A"	"P"
"1329_s_at"	"A"	"A"	"A"
"133_at"	"P"	"P"	"P"
"1330_at"	"A"	"A"	"A"
"1331_s_at"	"A"	"A"	"A"
"1332_f_at"	"A"	"A"	"A"
"1333_f_at"	"A"	"A"	"A"
"1334_s_at"	"P"	"P"	"P"
"1335_at"	"A"	"A"	"A"
"1336_s_at"	"A"	"P"	"A"
"1337_s_at"	"A"	"A"	"A"
"1338_s_at"	"A"	"A"	"A"
"1339_s_at"	"P"	"P"	"P"
"134_at"	"P"	"P"	"P"
"1340_s_at"	"P"	"P"	"P"
"1341_at"	"A"	"A"	"A"
"1342_g_at"	"P"	"P"	"P"
"1343_s_at"	"P"	"P"	"A"
"1344_at"	"A"	"A"	"A"
"1345_s_at"	"A"	"A"	"A"
"1346_at"	"A"	"A"	"A"
"1347_at"	"P"	"M"	"P"
"1348_s_at"	"P"	"P"	"P"
"1349_at"	"A"	"A"	"A"
"135_g_at"	"P"	"P"	"P"
"1350_at"	"A"	"A"	"A"
"1351_at"	"A"	"A"	"A"
"1352_at"	"A"	"A"	"A"
"1353_g_at"	"A"	"A"	"A"
"1354_at"	"M"	"P"	"P"
"1355_g_at"	"A"	"A"	"A"
"1356_at"	"P"	"P"	"P"
"1357_at"	"P"	"P"	"P"
"1358_s_at"	"P"	"M"	"A"
"1359_at"	"A"	"A"	"A"
"136_at"	"A"	"A"	"A"
"1360_at"	"P"	"P"	"P"
"1361_at"	"P"	"P"	"P"
"1362_s_at"	"P"	"P"	"P"
"1363_at"	"A"	"A"	"A"
"1364_at"	"A"	"A"	"A"
"1365_at"	"A"	"A"	"A"
"1366_i_at"	"P"	"P"	"P"
"1367_f_at"	"P"	"P"	"P"
"1368_at"	"P"	"P"	"P"
"1369_s_at"	"P"	"P"	"P"
"137_at"	"A"	"A"	"A"
"1370_at"	"P"	"P"	"P"
"1371_s_at"	"A"	"A"	"A"
"1372_at"	"P"	"P"	"P"
"1373_at"	"P"	"P"	"P"
"1374_g_at"	"A"	"A"	"A"
"1375_s_at"	"P"	"P"	"P"
"1376_at"	"A"	"A"	"A"
"1377_at"	"P"	"P"	"P"
"1378_g_at"	"P"	"P"	"P"
"1379_at"	"P"	"P"	"P"
"138_at"	"A"	"A"	"A"
"1380_at"	"P"	"P"	"A"
"1381_at"	"A"	"A"	"A"
"1382_at"	"P"	"P"	"P"
"1383_at"	"P"	"P"	"P"
"1384_at"	"A"	"A"	"A"
"1385_at"	"P"	"P"	"P"
"1386_at"	"P"	"P"	"P"
"1387_at"	"A"	"A"	"A"
"1388_g_at"	"P"	"P"	"P"
"1389_at"	"P"	"P"	"P"
"139_at"	"A"	"A"	"A"
"1390_s_at"	"A"	"A"	"A"
"1391_s_at"	"A"	"A"	"A"
"1392_at"	"A"	"A"	"A"
"1393_at"	"A"	"A"	"A"
"1394_at"	"P"	"P"	"P"
"1395_at"	"P"	"P"	"P"
"1396_at"	"M"	"P"	"A"
"1397_at"	"A"	"A"	"A"
"1398_g_at"	"P"	"P"	"P"
"1399_at"	"P"	"P"	"P"
"140_s_at"	"P"	"P"	"P"
"1400_at"	"P"	"P"	"P"
"1401_g_at"	"P"	"P"	"P"
"1402_at"	"A"	"A"	"A"
"1403_s_at"	"P"	"P"	"P"
"1404_r_at"	"A"	"A"	"A"
"1405_i_at"	"A"	"A"	"A"
"1406_at"	"A"	"A"	"A"
"1407_g_at"	"A"	"A"	"A"
"1408_at"	"A"	"A"	"A"
"1409_at"	"P"	"P"	"P"
"141_s_at"	"A"	"A"	"A"
"1410_at"	"A"	"A"	"A"
"1411_at"	"A"	"A"	"A"
"1412_g_at"	"A"	"A"	"A"
"1413_at"	"A"	"A"	"A"
"1414_at"	"A"	"A"	"A"
"1415_at"	"P"	"P"	"P"
"1416_g_at"	"A"	"A"	"A"
"1417_at"	"A"	"A"	"A"
"1418_at"	"A"	"A"	"A"
"1419_g_at"	"A"	"A"	"A"
"142_at"	"P"	"P"	"P"
