"affy_hg_u133_plus_2"	"entrezgene"
"226204_at"	79680
"219560_at"	79680
"212569_at"	23347
"212577_at"	23347
"1558747_at"	23347
"212579_at"	23347
"213562_s_at"	6713
"209218_at"	6713
"213577_at"	6713
"202327_s_at"	5310
"216949_s_at"	5310
"202328_s_at"	5310
"214682_at"	5310
"240376_s_at"	5310
"202327_s_at"	101060429
"216949_s_at"	101060429
"202328_s_at"	101060429
"214682_at"	101060429
"240376_s_at"	101060429
"200886_s_at"	441531
"1552632_a_at"	22901
"1557856_at"	NA
"1557857_a_at"	NA
"1562081_a_at"	100874182
"1562080_at"	100874182
"237326_at"	114036
"241291_at"	100505776
"230151_at"	57213
"214668_at"	57213
"231792_at"	85366
"204153_s_at"	4242
"204152_s_at"	4242
"220245_at"	51151
"221644_s_at"	51151
"1561624_at"	NA
"211374_x_at"	NA
"219599_at"	NA
"234835_at"	100506667
"211937_at"	NA
"218295_s_at"	NA
"208386_x_at"	11144
"208382_s_at"	11144
"36994_at"	NA
"224798_s_at"	57184
"224805_s_at"	57184
"224804_s_at"	57184
"218241_at"	9950
"242012_at"	NA
"220705_s_at"	NA
"36994_at"	527
"236440_at"	NA
"231589_at"	NA
"1561083_at"	NA
"243742_at"	100505797
"218479_s_at"	64328
"222649_at"	64328
"232801_at"	375748
"232013_at"	375748
"228211_at"	375748
"220301_at"	79839
"237552_at"	100505817
"237620_at"	284451
"213737_x_at"	NA
"212992_at"	113146
"1558378_a_at"	113146
"217356_s_at"	5230
"200737_at"	5230
"227068_at"	5230
"1558365_at"	5230
"228483_s_at"	5230
"200738_s_at"	5230
"1570484_at"	NA
"241696_at"	54875
"220095_at"	54875
"1559005_s_at"	54875
"239989_at"	54875
"207245_at"	7367
"200019_s_at"	NA
"1564878_at"	NA
"1562222_at"	NA
"238971_at"	NA
"226924_at"	400657
"232241_at"	100272228
"1559136_s_at"	100272228
"1569315_s_at"	100272228
"1562839_at"	100272228
"225125_at"	93380
"1560979_a_at"	NA
"221402_at"	4992
"207199_at"	7015
"1555271_a_at"	7015
"234166_at"	NA
"1561418_at"	NA
"225320_at"	90550
"213161_at"	158427
"1555430_at"	158427
"211177_s_at"	10587
"210803_at"	10587
"1569218_at"	NA
"201563_at"	NA
