"GSM530551.CEL.gz"	"GSM530552.CEL.gz"
"1552669_at"	"A"	"A"
"1552670_a_at"	"A"	"P"
"1552671_a_at"	"P"	"A"
"1552672_a_at"	"A"	"A"
"1552673_at"	"A"	"A"
"1552674_at"	"A"	"A"
"1552675_at"	"A"	"A"
"1552676_at"	"A"	"A"
"1552677_a_at"	"A"	"A"
"1552678_a_at"	"A"	"A"
"1552680_a_at"	"A"	"A"
"1552682_a_at"	"P"	"A"
"1552684_a_at"	"P"	"P"
"1552685_a_at"	"A"	"A"
"1552686_at"	"A"	"A"
"1552687_a_at"	"A"	"A"
"1552689_at"	"A"	"A"
"1552690_a_at"	"A"	"A"
"1552691_at"	"A"	"A"
"1552693_at"	"A"	"A"
"1552694_at"	"A"	"A"
"1552695_a_at"	"A"	"P"
"1552696_at"	"P"	"P"
"1552698_at"	"P"	"P"
"1552701_a_at"	"P"	"P"
"1552703_s_at"	"A"	"P"
"1552705_at"	"A"	"P"
"1552708_a_at"	"P"	"P"
"1552711_a_at"	"P"	"P"
"1552712_a_at"	"P"	"P"
"1552713_a_at"	"P"	"P"
"1552714_at"	"A"	"A"
"1552715_a_at"	"A"	"A"
"1552716_at"	"P"	"P"
"1552717_s_at"	"P"	"P"
"1552718_at"	"A"	"A"
"1552719_at"	"A"	"A"
"1552721_a_at"	"P"	"A"
"1552722_at"	"A"	"A"
"1552724_at"	"M"	"P"
"1552725_s_at"	"A"	"A"
"1552726_at"	"A"	"A"
"1552727_s_at"	"A"	"A"
"1552729_at"	"P"	"A"
"1552730_at"	"A"	"A"
"1552731_at"	"A"	"A"
"1552732_at"	"A"	"A"
"1552733_at"	"A"	"P"
"1552734_at"	"A"	"M"
"1552735_at"	"A"	"A"
"1552736_a_at"	"A"	"A"
"1552737_s_at"	"P"	"P"
"1552738_a_at"	"P"	"M"
"1552739_s_at"	"P"	"P"
"1552740_at"	"A"	"A"
"1552742_at"	"A"	"A"
"1552743_at"	"A"	"A"
"1552745_at"	"A"	"A"
"1552747_a_at"	"A"	"M"
"1552749_a_at"	"A"	"A"
"1552750_at"	"A"	"A"
"1552751_a_at"	"A"	"A"
"1552752_a_at"	"A"	"A"
"1552754_a_at"	"A"	"A"
"1552755_at"	"A"	"A"
"1552757_s_at"	"A"	"A"
"1552758_at"	"A"	"A"
"1552760_at"	"A"	"A"
"1552761_at"	"A"	"A"
"1552763_at"	"A"	"A"
"1552765_x_at"	"A"	"A"
"1552766_at"	"A"	"A"
"1552767_a_at"	"A"	"A"
"1552768_at"	"A"	"A"
"1552769_at"	"M"	"A"
"1552770_s_at"	"A"	"A"
"1552771_a_at"	"A"	"A"
"1552772_at"	"A"	"A"
"1552773_at"	"A"	"A"
"1552774_a_at"	"A"	"A"
"1552775_at"	"A"	"A"
"1552777_a_at"	"A"	"A"
"1552779_a_at"	"A"	"A"
"1552782_at"	"A"	"A"
"1552783_at"	"A"	"A"
"1552785_at"	"A"	"A"
"1552787_at"	"A"	"A"
