"GSM530551.CEL.gz"	"GSM530552.CEL.gz"
"224655_at"	"P"	"P"
"224656_s_at"	"P"	"P"
"224657_at"	"P"	"P"
"224658_x_at"	"P"	"P"
"224659_at"	"P"	"P"
"224660_at"	"P"	"P"
"224661_at"	"P"	"P"
"224662_at"	"P"	"P"
"224663_s_at"	"P"	"P"
"224664_at"	"P"	"P"
"224665_at"	"P"	"P"
"224666_at"	"P"	"P"
"224667_x_at"	"P"	"P"
"224668_at"	"P"	"P"
"224669_at"	"P"	"P"
"224670_at"	"P"	"P"
"224671_at"	"P"	"P"
"224672_x_at"	"A"	"A"
"224673_at"	"M"	"A"
"224674_at"	"P"	"P"
"224675_at"	"P"	"P"
"224676_at"	"P"	"P"
"224677_x_at"	"P"	"P"
"224678_at"	"P"	"P"
"224679_at"	"P"	"P"
"224680_at"	"P"	"P"
"224681_at"	"P"	"P"
"224682_at"	"P"	"P"
"224683_at"	"P"	"P"
"224684_at"	"P"	"P"
"224685_at"	"P"	"P"
"224686_x_at"	"P"	"P"
"224687_at"	"P"	"P"
"224688_at"	"P"	"P"
"224689_at"	"P"	"P"
"224690_at"	"P"	"P"
"224691_at"	"P"	"P"
"224692_at"	"P"	"P"
"224693_at"	"P"	"P"
"224694_at"	"P"	"P"
"224695_at"	"P"	"P"
"224696_s_at"	"P"	"P"
"224697_at"	"A"	"A"
"224698_at"	"P"	"P"
"224699_s_at"	"P"	"P"
"224700_at"	"P"	"P"
"224701_at"	"P"	"P"
"224702_at"	"P"	"P"
"224703_at"	"P"	"P"
"224704_at"	"P"	"P"
"224705_s_at"	"P"	"P"
"224706_at"	"P"	"P"
"224707_at"	"P"	"P"
"224708_at"	"P"	"P"
"224709_s_at"	"P"	"P"
"224710_at"	"P"	"P"
"224711_at"	"P"	"P"
"224712_x_at"	"A"	"P"
"224713_at"	"P"	"P"
"224714_at"	"P"	"P"
"224715_at"	"P"	"P"
"224716_at"	"P"	"P"
"224717_s_at"	"P"	"P"
"224718_at"	"P"	"P"
"224719_s_at"	"P"	"P"
"224720_at"	"P"	"P"
"224721_at"	"P"	"P"
"224722_at"	"P"	"P"
"224723_x_at"	"P"	"P"
"224724_at"	"A"	"A"
"224725_at"	"P"	"P"
"224726_at"	"P"	"P"
"224727_at"	"P"	"P"
"224728_at"	"P"	"P"
"224729_s_at"	"P"	"P"
"224730_at"	"P"	"P"
"224731_at"	"P"	"P"
"224732_at"	"P"	"P"
"224733_at"	"P"	"P"
"224734_at"	"P"	"P"
"224735_at"	"P"	"P"
"224736_at"	"P"	"P"
"224737_x_at"	"P"	"P"
"224738_x_at"	"P"	"P"
"224739_at"	"P"	"P"
"224740_at"	"P"	"P"
"224741_x_at"	"P"	"P"
"224742_at"	"P"	"P"
"224743_at"	"P"	"P"
"224744_at"	"P"	"P"
"224745_x_at"	"P"	"P"
"224746_at"	"M"	"A"
"224747_at"	"P"	"P"
"224748_at"	"P"	"P"
"224749_at"	"P"	"P"
"224750_at"	"P"	"P"
"224751_at"	"P"	"P"
"224752_at"	"P"	"P"
"224753_at"	"P"	"P"
"224754_at"	"P"	"P"
"224755_at"	"P"	"P"
"224756_s_at"	"P"	"P"
"224758_at"	"P"	"P"
"224759_s_at"	"P"	"P"
"224760_at"	"P"	"P"
"224761_at"	"P"	"P"
"224762_at"	"A"	"A"
"224763_at"	"P"	"P"
"224764_at"	"P"	"P"
"224765_at"	"P"	"P"
"224766_at"	"P"	"P"
"224767_at"	"P"	"P"
"224768_at"	"P"	"P"
"224769_at"	"P"	"P"
"224770_s_at"	"A"	"M"
"224771_at"	"P"	"P"
"224772_at"	"P"	"P"
"224773_at"	"P"	"P"
"224774_s_at"	"P"	"P"
"224775_at"	"P"	"P"
"224776_at"	"P"	"P"
"224777_s_at"	"P"	"P"
"224778_s_at"	"P"	"P"
"224779_s_at"	"P"	"P"
"224780_at"	"P"	"P"
"224781_s_at"	"P"	"P"
"224782_at"	"P"	"P"
"224783_at"	"P"	"P"
"224784_at"	"P"	"P"
"224785_at"	"P"	"P"
"224786_at"	"P"	"P"
"224787_s_at"	"P"	"P"
"224788_at"	"P"	"P"
"224789_at"	"P"	"P"
"224790_at"	"P"	"P"
"224791_at"	"P"	"P"
"224792_at"	"P"	"P"
"224793_s_at"	"P"	"P"
"224794_s_at"	"P"	"P"
"224795_x_at"	"A"	"A"
"224796_at"	"P"	"P"
"224797_at"	"P"	"P"
"224798_s_at"	"P"	"P"
"224799_at"	"P"	"P"
"224800_at"	"P"	"P"
"224801_at"	"P"	"P"
"224802_at"	"P"	"P"
"224803_s_at"	"A"	"A"
"224804_s_at"	"P"	"P"
"224805_s_at"	"A"	"A"
"224806_at"	"P"	"P"
"224807_at"	"P"	"P"
"224808_s_at"	"P"	"P"
"224809_x_at"	"P"	"P"
"224810_s_at"	"P"	"P"
"224811_at"	"P"	"P"
"224812_at"	"P"	"P"
"224813_at"	"P"	"P"
"224814_at"	"P"	"P"
"224815_at"	"P"	"P"
"224816_at"	"A"	"A"
"224817_at"	"P"	"P"
"224818_at"	"A"	"A"
"224819_at"	"P"	"P"
"224820_at"	"P"	"P"
"224821_at"	"P"	"M"
"224822_at"	"P"	"P"
"224823_at"	"P"	"P"
"224824_at"	"P"	"P"
"224825_at"	"P"	"P"
"224826_at"	"P"	"P"
"224827_at"	"P"	"P"
"224828_at"	"P"	"P"
"224829_at"	"P"	"P"
"224830_at"	"P"	"P"
"224831_at"	"P"	"P"
"224832_at"	"P"	"P"
"224833_at"	"P"	"P"
"224834_at"	"P"	"P"
"224835_at"	"A"	"A"
"224836_at"	"P"	"P"
"224837_at"	"P"	"P"
"224838_at"	"P"	"P"
"224839_s_at"	"P"	"P"
"224840_at"	"P"	"P"
"224841_x_at"	"P"	"P"
"224842_at"	"P"	"P"
"224843_at"	"P"	"P"
"224844_at"	"P"	"P"
"224845_s_at"	"P"	"P"
"224846_at"	"P"	"M"
"224847_at"	"P"	"P"
"224848_at"	"P"	"P"
"224849_at"	"P"	"P"
"224850_at"	"P"	"P"
"224851_at"	"P"	"P"
"224852_at"	"P"	"P"
"224853_at"	"P"	"P"
"224854_s_at"	"P"	"P"
"224855_at"	"P"	"P"
"224856_at"	"P"	"P"
"224857_s_at"	"P"	"P"
"224858_at"	"P"	"P"
"224859_at"	"P"	"P"
"224860_at"	"P"	"A"
"224861_at"	"P"	"P"
"224862_at"	"P"	"P"
"224863_at"	"P"	"P"
"224864_at"	"P"	"P"
"224865_at"	"P"	"P"
"224866_at"	"P"	"P"
"224867_at"	"P"	"P"
"224868_at"	"P"	"P"
"224869_s_at"	"P"	"P"
"224870_at"	"P"	"P"
"224871_at"	"P"	"P"
"224872_at"	"P"	"P"
"224873_s_at"	"P"	"P"
"224874_at"	"P"	"P"
"224875_at"	"P"	"P"
"224876_at"	"P"	"P"
"224877_s_at"	"M"	"P"
"224878_at"	"P"	"P"
"224879_at"	"P"	"P"
"224880_at"	"P"	"P"
"224881_at"	"P"	"P"
"224882_at"	"A"	"A"
"224883_at"	"P"	"P"
"224884_at"	"A"	"M"
"224885_s_at"	"P"	"P"
"224886_at"	"P"	"P"
"224887_at"	"P"	"P"
"224888_at"	"P"	"P"
"224889_at"	"P"	"P"
"224890_s_at"	"P"	"P"
"224891_at"	"P"	"P"
"224892_at"	"P"	"P"
"224893_at"	"P"	"P"
"224894_at"	"P"	"P"
"224895_at"	"P"	"P"
"224896_s_at"	"P"	"P"
"224897_at"	"P"	"P"
"224898_at"	"P"	"P"
"224899_s_at"	"P"	"P"
"224900_at"	"P"	"P"
"224901_at"	"P"	"P"
"224902_at"	"P"	"P"
"224903_at"	"P"	"P"
"224904_at"	"P"	"P"
"224905_at"	"P"	"P"
"224906_at"	"P"	"P"
"224907_s_at"	"A"	"A"
"224908_s_at"	"P"	"P"
"224909_s_at"	"P"	"P"
"224910_at"	"P"	"P"
"224911_s_at"	"P"	"P"
"224912_at"	"P"	"P"
"224913_s_at"	"P"	"P"
"224914_s_at"	"P"	"P"
"224915_x_at"	"P"	"P"
"224916_at"	"A"	"A"
"224917_at"	"P"	"P"
"224918_x_at"	"P"	"P"
"224919_at"	"P"	"P"
"224920_x_at"	"P"	"P"
"224921_at"	"P"	"P"
"224922_at"	"P"	"P"
"224923_at"	"A"	"P"
"224924_at"	"A"	"A"
"224925_at"	"P"	"P"
"224926_at"	"P"	"P"
"224927_at"	"P"	"P"
"224928_at"	"P"	"P"
"224929_at"	"A"	"A"
"224930_x_at"	"P"	"P"
"224931_at"	"P"	"P"
"224932_at"	"P"	"P"
"224933_s_at"	"P"	"P"
"224934_at"	"P"	"P"
"224935_at"	"P"	"P"
"224936_at"	"P"	"P"
"224937_at"	"P"	"P"
"224938_at"	"P"	"P"
"224939_at"	"P"	"P"
"224940_s_at"	"P"	"P"
"224941_at"	"P"	"P"
"224942_at"	"P"	"P"
"224943_at"	"P"	"P"
"224944_at"	"P"	"P"
"224945_at"	"P"	"P"
"224946_s_at"	"P"	"P"
"224947_at"	"P"	"P"
"224948_at"	"P"	"P"
"224949_at"	"P"	"P"
"224950_at"	"P"	"P"
"224951_at"	"P"	"P"
"224952_at"	"P"	"P"
"224953_at"	"P"	"P"
"224954_at"	"P"	"P"
"224955_at"	"P"	"P"
"224956_at"	"P"	"P"
"224957_at"	"P"	"P"
"224958_at"	"P"	"P"
"224959_at"	"P"	"P"
"224960_at"	"P"	"P"
"224961_at"	"P"	"P"
"224962_at"	"P"	"P"
"224963_at"	"P"	"P"
"224964_s_at"	"P"	"P"
"224965_at"	"P"	"P"
"224966_s_at"	"P"	"P"
"224967_at"	"P"	"P"
"224968_at"	"P"	"P"
"224969_at"	"P"	"P"
"224970_at"	"A"	"A"
"224971_at"	"P"	"P"
"224972_at"	"P"	"P"
"224973_at"	"P"	"P"
"224974_at"	"P"	"P"
"224975_at"	"A"	"A"
"224976_at"	"A"	"A"
"224977_at"	"P"	"P"
"224978_s_at"	"P"	"P"
"224979_s_at"	"A"	"A"
"224980_at"	"P"	"P"
"224981_at"	"P"	"P"
"224982_at"	"P"	"P"
"224983_at"	"P"	"P"
"224984_at"	"P"	"P"
"224985_at"	"P"	"P"
"224986_s_at"	"P"	"P"
"224987_at"	"P"	"P"
"224988_at"	"P"	"P"
"224989_at"	"P"	"P"
"224990_at"	"P"	"P"
"224991_at"	"P"	"P"
"224992_s_at"	"P"	"P"
"224993_at"	"P"	"P"
"224994_at"	"P"	"P"
"224995_at"	"P"	"P"
"224996_at"	"P"	"P"
"224997_x_at"	"A"	"A"
"224998_at"	"P"	"P"
"224999_at"	"P"	"P"
"225000_at"	"P"	"P"
"225001_at"	"P"	"P"
"225002_s_at"	"P"	"P"
"225003_at"	"P"	"P"
"225004_at"	"P"	"P"
"225005_at"	"P"	"P"
"225006_x_at"	"P"	"P"
"225007_at"	"P"	"P"
"225008_at"	"P"	"P"
"225009_at"	"P"	"P"
"225010_at"	"P"	"P"
"225011_at"	"P"	"P"
"225012_at"	"P"	"P"
"225013_at"	"A"	"M"
"225014_at"	"P"	"P"
"225015_s_at"	"M"	"P"
"225016_at"	"A"	"A"
"225017_at"	"P"	"P"
"225018_at"	"P"	"P"
"225019_at"	"P"	"P"
"225020_at"	"A"	"A"
"225021_at"	"P"	"P"
"225022_at"	"P"	"P"
"225023_at"	"P"	"P"
"225024_at"	"P"	"P"
"225025_at"	"P"	"A"
"225026_at"	"P"	"P"
"225028_at"	"P"	"P"
"225029_at"	"P"	"P"
"225030_at"	"P"	"P"
"225031_at"	"P"	"P"
"225032_at"	"P"	"P"
"225033_at"	"P"	"P"
"225034_at"	"P"	"P"
"225035_x_at"	"P"	"P"
"225036_at"	"P"	"P"
"225037_at"	"P"	"P"
"225038_s_at"	"P"	"P"
"225039_at"	"P"	"P"
"225040_s_at"	"P"	"P"
"225041_at"	"P"	"P"
"225042_s_at"	"P"	"P"
"225043_at"	"P"	"P"
"225044_at"	"P"	"P"
"225045_at"	"P"	"P"
"225046_at"	"P"	"P"
"225047_at"	"P"	"P"
"225048_at"	"P"	"P"
"225049_at"	"P"	"P"
"225050_at"	"P"	"P"
"225051_at"	"P"	"P"
"225052_at"	"P"	"P"
"225053_at"	"P"	"P"
"225054_x_at"	"A"	"A"
"225055_at"	"A"	"P"
"225056_at"	"P"	"P"
"225057_at"	"P"	"P"
"225058_at"	"P"	"P"
"225059_at"	"P"	"P"
"225060_at"	"P"	"P"
"225061_at"	"A"	"A"
"225062_at"	"P"	"P"
"225063_at"	"P"	"P"
"225064_at"	"P"	"P"
"225065_x_at"	"P"	"P"
"225066_at"	"P"	"A"
"225067_at"	"P"	"P"
"225068_at"	"P"	"P"
"225069_at"	"P"	"P"
"225070_at"	"P"	"P"
"225071_at"	"P"	"P"
"225072_at"	"A"	"A"
"225073_at"	"P"	"P"
"225074_at"	"P"	"P"
"225075_at"	"P"	"P"
"225076_s_at"	"P"	"P"
"225077_at"	"P"	"P"
"225078_at"	"P"	"P"
"225079_at"	"P"	"P"
"225080_at"	"P"	"P"
"225081_s_at"	"P"	"P"
"225082_at"	"P"	"P"
"225083_at"	"P"	"P"
"225084_at"	"P"	"P"
"225085_at"	"P"	"P"
"225086_at"	"P"	"P"
"225087_at"	"P"	"P"
"225088_at"	"P"	"P"
"225089_at"	"P"	"P"
"225090_at"	"P"	"P"
"225091_at"	"P"	"P"
"225092_at"	"P"	"P"
"225093_at"	"P"	"P"
"225094_at"	"P"	"P"
"225095_at"	"P"	"P"
"225096_at"	"P"	"P"
"225097_at"	"P"	"P"
"225098_at"	"P"	"P"
"225099_at"	"P"	"P"
"225100_at"	"P"	"P"
"225101_s_at"	"P"	"P"
"225102_at"	"P"	"P"
"225103_at"	"P"	"P"
"225104_at"	"A"	"A"
"225105_at"	"P"	"P"
"225106_s_at"	"P"	"P"
"225107_at"	"P"	"P"
"225108_at"	"P"	"P"
"225109_at"	"A"	"A"
"225110_at"	"P"	"P"
"225111_s_at"	"A"	"P"
"225112_at"	"P"	"P"
"225113_at"	"P"	"P"
"225114_at"	"P"	"P"
"225115_at"	"P"	"P"
"225116_at"	"P"	"P"
"225117_at"	"P"	"P"
"225118_at"	"P"	"P"
"225119_at"	"P"	"P"
"225120_at"	"P"	"P"
"225121_at"	"P"	"P"
"225122_at"	"A"	"A"
"225123_at"	"A"	"A"
"225124_at"	"A"	"M"
"225125_at"	"P"	"P"
"225126_at"	"P"	"P"
"225127_at"	"P"	"P"
"225128_at"	"P"	"P"
"225129_at"	"P"	"P"
"225130_at"	"P"	"P"
"225131_at"	"P"	"P"
"225132_at"	"P"	"P"
"225133_at"	"P"	"P"
"225134_at"	"P"	"P"
"225135_at"	"P"	"P"
"225136_at"	"P"	"P"
"225137_at"	"M"	"A"
"225138_at"	"P"	"P"
"225139_at"	"P"	"P"
"225140_at"	"P"	"P"
"225141_at"	"P"	"P"
"225142_at"	"P"	"P"
"225143_at"	"P"	"P"
"225144_at"	"P"	"P"
"225145_at"	"P"	"P"
"225146_at"	"P"	"P"
"225147_at"	"P"	"P"
"225148_at"	"P"	"P"
"225149_at"	"P"	"P"
"225150_s_at"	"P"	"P"
"225151_at"	"A"	"A"
"225152_at"	"P"	"P"
"225153_at"	"P"	"P"
"225154_at"	"P"	"P"
"225155_at"	"P"	"P"
"225156_at"	"P"	"P"
"225157_at"	"P"	"P"
"225158_at"	"P"	"P"
"225159_s_at"	"P"	"P"
"225160_x_at"	"P"	"P"
"225161_at"	"P"	"P"
"225162_at"	"P"	"P"
"225163_at"	"P"	"P"
"225164_s_at"	"P"	"P"
"225165_at"	"A"	"A"
"225166_at"	"P"	"P"
"225167_at"	"P"	"P"
"225168_at"	"P"	"P"
"225169_at"	"P"	"P"
"225170_at"	"P"	"P"
"225171_at"	"P"	"P"
"225172_at"	"P"	"P"
"225173_at"	"P"	"P"
"225174_at"	"P"	"P"
"225175_s_at"	"A"	"A"
"225176_at"	"P"	"P"
"225177_at"	"A"	"A"
"225178_at"	"P"	"P"
"225179_at"	"P"	"P"
"225180_at"	"P"	"P"
"225181_at"	"P"	"P"
"225182_at"	"P"	"P"
"225183_at"	"P"	"P"
"225184_at"	"P"	"P"
"225185_at"	"P"	"P"
"225186_at"	"P"	"P"
"225187_at"	"P"	"P"
"225188_at"	"P"	"P"
"225189_s_at"	"P"	"P"
"225190_x_at"	"P"	"P"
"225191_at"	"A"	"P"
"225192_at"	"P"	"P"
"225193_at"	"P"	"P"
"225194_at"	"P"	"P"
"225195_at"	"P"	"P"
"225196_s_at"	"P"	"P"
"225197_at"	"P"	"P"
"225198_at"	"P"	"P"
"225199_at"	"P"	"P"
"225200_at"	"P"	"P"
"225201_s_at"	"P"	"P"
"225202_at"	"P"	"P"
"225203_at"	"P"	"P"
"225204_at"	"P"	"P"
"225205_at"	"P"	"P"
"225206_s_at"	"P"	"P"
"225207_at"	"A"	"A"
"225208_s_at"	"P"	"P"
"225209_s_at"	"P"	"P"
"225210_s_at"	"P"	"P"
"225211_at"	"A"	"A"
"225212_at"	"P"	"P"
"225213_at"	"P"	"P"
"225214_at"	"A"	"A"
"225215_s_at"	"P"	"P"
"225216_at"	"P"	"P"
"225217_s_at"	"M"	"P"
"225218_at"	"P"	"P"
"225219_at"	"P"	"P"
"225220_at"	"P"	"P"
"225221_at"	"P"	"P"
"225222_at"	"P"	"P"
"225223_at"	"P"	"P"
"225224_at"	"P"	"P"
"225225_at"	"P"	"P"
"225226_at"	"P"	"P"
"225227_at"	"P"	"P"
"225228_at"	"P"	"P"
"225229_at"	"P"	"P"
"225230_at"	"P"	"P"
"225231_at"	"P"	"P"
"225232_at"	"P"	"P"
"225233_at"	"A"	"A"
"225234_at"	"P"	"P"
"225235_at"	"P"	"P"
"225236_at"	"P"	"P"
"225237_s_at"	"P"	"P"
"225238_at"	"A"	"A"
"225239_at"	"P"	"P"
"225240_s_at"	"P"	"P"
"225241_at"	"P"	"P"
"225242_s_at"	"P"	"P"
"225243_s_at"	"P"	"P"
"225244_at"	"P"	"P"
"225245_x_at"	"P"	"M"
"225246_at"	"P"	"P"
"225247_at"	"P"	"P"
"225248_at"	"A"	"A"
"225249_at"	"A"	"A"
"225250_at"	"A"	"P"
"225251_at"	"P"	"P"
"225252_at"	"P"	"P"
"225253_s_at"	"P"	"P"
"225254_at"	"A"	"P"
"225255_at"	"P"	"P"
"225256_at"	"P"	"P"
"225257_at"	"M"	"P"
"225258_at"	"A"	"M"
"225259_at"	"A"	"A"
"225260_s_at"	"P"	"P"
"225261_x_at"	"P"	"P"
"225262_at"	"P"	"P"
"225263_at"	"P"	"P"
"225264_at"	"P"	"P"
"225265_at"	"P"	"P"
"225266_at"	"P"	"P"
"225267_at"	"P"	"P"
"225268_at"	"P"	"P"
"225269_s_at"	"P"	"P"
"225270_at"	"P"	"M"
"225271_at"	"M"	"P"
"225272_at"	"P"	"P"
"225273_at"	"P"	"P"
"225274_at"	"P"	"P"
"225275_at"	"P"	"P"
"225276_at"	"P"	"P"
"225277_at"	"P"	"P"
"225278_at"	"P"	"P"
"225279_s_at"	"M"	"P"
"225280_x_at"	"P"	"P"
"225281_at"	"P"	"P"
"225282_at"	"P"	"P"
"225283_at"	"P"	"P"
"225284_at"	"P"	"P"
"225285_at"	"P"	"P"
"225286_at"	"P"	"P"
"225287_s_at"	"P"	"P"
"225288_at"	"P"	"P"
"225289_at"	"P"	"P"
"225290_at"	"P"	"P"
"225291_at"	"P"	"P"
"225292_at"	"A"	"A"
"225293_at"	"P"	"P"
"225294_s_at"	"P"	"P"
"225295_at"	"P"	"P"
"225296_at"	"P"	"P"
"225297_at"	"P"	"P"
"225298_at"	"P"	"P"
"225299_at"	"A"	"A"
"225300_at"	"P"	"P"
"225301_s_at"	"A"	"P"
"225302_at"	"P"	"P"
"225303_at"	"P"	"P"
"225304_s_at"	"P"	"P"
"225305_at"	"P"	"A"
"225306_s_at"	"P"	"A"
"225307_at"	"P"	"P"
"225308_s_at"	"P"	"P"
"225309_at"	"P"	"P"
"225310_at"	"P"	"P"
"225311_at"	"P"	"P"
"225312_at"	"P"	"P"
"225313_at"	"P"	"P"
"225314_at"	"P"	"P"
"225315_at"	"P"	"P"
"225316_at"	"P"	"P"
"225317_at"	"P"	"P"
"225318_at"	"P"	"P"
"225319_s_at"	"P"	"P"
"225320_at"	"P"	"P"
"225321_s_at"	"P"	"P"
"225322_s_at"	"A"	"A"
"225323_at"	"P"	"P"
"225324_at"	"P"	"P"
"225325_at"	"P"	"P"
"225326_at"	"P"	"P"
"225327_at"	"P"	"P"
"225328_at"	"P"	"P"
"225329_at"	"P"	"P"
"225330_at"	"P"	"P"
"225331_at"	"P"	"P"
"225332_at"	"P"	"P"
"225333_at"	"A"	"A"
"225334_at"	"P"	"P"
"225335_at"	"P"	"P"
"225336_at"	"P"	"P"
"225337_at"	"P"	"P"
"225338_at"	"P"	"P"
"225339_at"	"P"	"P"
"225340_s_at"	"P"	"P"
"225341_at"	"P"	"P"
"225342_at"	"P"	"P"
"225343_at"	"P"	"P"
"225344_at"	"P"	"P"
"225345_s_at"	"P"	"P"
"225346_at"	"P"	"P"
"225347_at"	"M"	"A"
"225348_at"	"P"	"P"
"225349_at"	"A"	"A"
"225350_s_at"	"P"	"P"
"225351_at"	"P"	"P"
"225352_at"	"P"	"P"
"225353_s_at"	"A"	"A"
"225354_s_at"	"A"	"A"
"225355_at"	"P"	"P"
"225356_at"	"P"	"P"
"225357_s_at"	"P"	"P"
"225358_at"	"P"	"P"
"225359_at"	"P"	"P"
"225360_at"	"A"	"A"
"225361_x_at"	"P"	"P"
"225362_at"	"P"	"P"
"225363_at"	"P"	"P"
"225364_at"	"P"	"P"
"225365_at"	"P"	"P"
"225366_at"	"P"	"P"
"225367_at"	"P"	"P"
"225368_at"	"P"	"P"
"225369_at"	"A"	"A"
"225370_at"	"A"	"P"
"225371_at"	"P"	"P"
"225372_at"	"A"	"A"
"225373_at"	"A"	"A"
"225374_at"	"P"	"P"
"225375_at"	"P"	"P"
"225376_at"	"P"	"P"
"225377_at"	"P"	"P"
"225378_at"	"P"	"P"
"225379_at"	"A"	"A"
"225380_at"	"A"	"A"
"225381_at"	"P"	"P"
"225382_at"	"P"	"P"
"225383_at"	"P"	"P"
"225384_at"	"P"	"P"
"225385_s_at"	"P"	"P"
"225386_s_at"	"P"	"P"
"225387_at"	"P"	"P"
"225388_at"	"P"	"P"
"225389_at"	"P"	"P"
"225390_s_at"	"P"	"P"
"225391_at"	"P"	"P"
"225392_at"	"P"	"P"
"225393_at"	"A"	"A"
"225394_s_at"	"P"	"P"
"225395_s_at"	"P"	"P"
"225396_at"	"P"	"P"
"225397_at"	"P"	"P"
"225398_at"	"P"	"P"
"225399_at"	"P"	"P"
"225400_at"	"P"	"P"
"225401_at"	"P"	"P"
"225402_at"	"P"	"P"
"225403_at"	"P"	"P"
"225404_at"	"P"	"P"
"225405_at"	"P"	"P"
"225406_at"	"P"	"P"
"225407_at"	"A"	"A"
"225408_at"	"A"	"A"
"225409_at"	"P"	"P"
"225410_at"	"M"	"P"
"225411_at"	"P"	"P"
"225412_at"	"P"	"P"
"225413_at"	"P"	"P"
"225414_at"	"P"	"P"
"225415_at"	"P"	"P"
"225416_at"	"P"	"P"
"225417_at"	"P"	"P"
"225418_at"	"A"	"A"
"225419_at"	"P"	"P"
"225420_at"	"P"	"P"
"225421_at"	"P"	"P"
"225422_at"	"P"	"P"
"225423_x_at"	"A"	"A"
"225424_at"	"P"	"P"
"225425_s_at"	"P"	"P"
"225426_at"	"P"	"P"
"225427_s_at"	"P"	"P"
"225428_s_at"	"P"	"P"
"225429_at"	"P"	"P"
"225430_at"	"P"	"P"
"225431_x_at"	"P"	"P"
"225432_s_at"	"A"	"P"
"225433_at"	"P"	"P"
"225434_at"	"P"	"P"
"225435_at"	"P"	"P"
"225436_at"	"P"	"P"
"225437_s_at"	"P"	"P"
"225438_at"	"P"	"P"
"225439_at"	"P"	"P"
"225440_at"	"P"	"P"
"225441_x_at"	"P"	"P"
"225442_at"	"P"	"P"
"225443_at"	"P"	"P"
"225444_at"	"P"	"P"
"225445_at"	"P"	"P"
"225446_at"	"M"	"P"
"225447_at"	"P"	"P"
"225448_at"	"P"	"P"
"225449_at"	"A"	"A"
"225450_at"	"P"	"P"
"225451_at"	"P"	"P"
"225452_at"	"P"	"P"
"225453_x_at"	"A"	"A"
"225454_at"	"P"	"P"
"225455_at"	"P"	"P"
"225456_at"	"P"	"P"
"225457_s_at"	"P"	"P"
"225458_at"	"P"	"P"
"225459_at"	"A"	"A"
"225460_at"	"P"	"P"
"225461_at"	"P"	"P"
"225462_at"	"P"	"P"
"225463_x_at"	"P"	"P"
"225464_at"	"P"	"P"
"225465_at"	"P"	"P"
"225466_at"	"P"	"P"
"225467_s_at"	"P"	"P"
"225468_at"	"P"	"P"
"225469_at"	"P"	"P"
"225470_at"	"P"	"P"
"225471_s_at"	"P"	"P"
"225472_at"	"P"	"P"
"225473_at"	"P"	"M"
"225474_at"	"P"	"P"
"225475_at"	"P"	"P"
"225476_at"	"P"	"P"
"225477_s_at"	"P"	"P"
"225478_at"	"P"	"P"
"225479_at"	"P"	"P"
"225480_at"	"P"	"P"
"225481_at"	"P"	"P"
"225482_at"	"A"	"A"
"225483_at"	"P"	"P"
"225484_at"	"P"	"P"
"225485_at"	"P"	"P"
"225486_at"	"P"	"P"
"225487_at"	"A"	"P"
"225488_at"	"P"	"A"
"225489_at"	"P"	"P"
"225490_at"	"P"	"P"
"225491_at"	"A"	"A"
"225492_at"	"P"	"P"
"225493_at"	"P"	"P"
"225494_at"	"P"	"P"
"225495_x_at"	"P"	"A"
"225496_s_at"	"P"	"P"
"225497_at"	"P"	"P"
"225498_at"	"P"	"P"
"225499_at"	"A"	"A"
"225500_x_at"	"A"	"A"
"225501_at"	"P"	"P"
"225502_at"	"A"	"A"
"225503_at"	"A"	"A"
"225504_at"	"A"	"P"
"225505_s_at"	"P"	"P"
"225506_at"	"P"	"P"
"225507_at"	"P"	"P"
"225508_at"	"P"	"P"
"225509_at"	"P"	"P"
"225510_at"	"P"	"P"
"225511_at"	"A"	"A"
"225512_at"	"P"	"P"
"225513_at"	"A"	"A"
"225514_at"	"P"	"P"
"225515_s_at"	"P"	"P"
"225516_at"	"A"	"A"
"225517_at"	"P"	"P"
"225518_x_at"	"A"	"A"
"225519_at"	"P"	"P"
"225520_at"	"P"	"P"
"225521_at"	"P"	"P"
"225522_at"	"P"	"P"
"225523_at"	"P"	"P"
"225524_at"	"P"	"P"
"225525_at"	"P"	"P"
"225526_at"	"P"	"P"
"225527_at"	"P"	"P"
"225528_at"	"P"	"P"
"225529_at"	"P"	"P"
"225530_at"	"P"	"P"
"225531_at"	"A"	"A"
"225532_at"	"A"	"A"
"225533_at"	"P"	"P"
"225534_at"	"P"	"P"
"225535_s_at"	"P"	"P"
"225536_at"	"P"	"P"
"225537_at"	"P"	"P"
"225538_at"	"P"	"P"
"225539_at"	"P"	"P"
"225540_at"	"P"	"P"
"225541_at"	"P"	"P"
"225542_at"	"P"	"P"
"225543_at"	"P"	"P"
"225544_at"	"A"	"A"
"225545_at"	"P"	"P"
"225546_at"	"P"	"P"
"225547_at"	"P"	"P"
"225548_at"	"A"	"A"
"225549_at"	"P"	"P"
"225550_at"	"M"	"A"
"225551_at"	"P"	"P"
"225552_x_at"	"P"	"P"
"225553_at"	"P"	"P"
"225554_s_at"	"P"	"P"
"225555_x_at"	"P"	"P"
"225556_at"	"P"	"P"
"225557_at"	"P"	"P"
"225558_at"	"P"	"P"
"225559_at"	"A"	"P"
"225560_at"	"P"	"A"
"225561_at"	"P"	"P"
"225562_at"	"P"	"P"
"225563_at"	"P"	"P"
"225564_at"	"P"	"P"
"225565_at"	"P"	"P"
"225566_at"	"P"	"P"
