"GSM556748.CEL.gz"	"GSM556750.CEL.gz"	"GSM556751.CEL.gz"
"200794_x_at"	"P"	"P"	"P"
"200795_at"	"A"	"A"	"A"
"200796_s_at"	"P"	"P"	"P"
"200797_s_at"	"P"	"P"	"P"
"200798_x_at"	"P"	"P"	"P"
"200799_at"	"P"	"P"	"P"
"200800_s_at"	"P"	"P"	"P"
"200801_x_at"	"P"	"P"	"P"
"200802_at"	"P"	"P"	"P"
"200803_s_at"	"P"	"P"	"P"
"200804_at"	"P"	"P"	"P"
"200805_at"	"P"	"P"	"P"
"200806_s_at"	"P"	"P"	"P"
"200807_s_at"	"P"	"P"	"P"
"200808_s_at"	"P"	"P"	"P"
"200809_x_at"	"P"	"P"	"P"
"200810_s_at"	"P"	"P"	"P"
"200811_at"	"P"	"P"	"P"
"200812_at"	"P"	"P"	"P"
"200813_s_at"	"P"	"P"	"P"
"200814_at"	"P"	"P"	"P"
"200815_s_at"	"P"	"P"	"P"
"200816_s_at"	"P"	"P"	"P"
"200817_x_at"	"P"	"P"	"P"
"200818_at"	"P"	"P"	"P"
"200819_s_at"	"P"	"P"	"P"
"200820_at"	"P"	"P"	"P"
"200821_at"	"P"	"P"	"P"
"200822_x_at"	"P"	"P"	"P"
"200823_x_at"	"P"	"P"	"P"
"200824_at"	"P"	"P"	"P"
"200825_s_at"	"P"	"P"	"P"
"200826_at"	"P"	"P"	"P"
"200827_at"	"P"	"P"	"P"
"200828_s_at"	"P"	"P"	"P"
"200829_x_at"	"P"	"P"	"P"
"200830_at"	"P"	"P"	"P"
"200831_s_at"	"P"	"P"	"P"
"200832_s_at"	"P"	"P"	"P"
"200833_s_at"	"P"	"P"	"P"
"200834_s_at"	"P"	"P"	"P"
"200835_s_at"	"A"	"A"	"A"
"200836_s_at"	"A"	"P"	"P"
"200837_at"	"P"	"P"	"P"
"200838_at"	"P"	"P"	"P"
"200839_s_at"	"P"	"P"	"P"
"200840_at"	"P"	"P"	"P"
"200841_s_at"	"P"	"P"	"P"
"200842_s_at"	"P"	"P"	"P"
"200843_s_at"	"P"	"P"	"P"
"200844_s_at"	"P"	"P"	"P"
"200845_s_at"	"P"	"P"	"P"
"200846_s_at"	"P"	"P"	"P"
"200847_s_at"	"P"	"P"	"P"
"200848_at"	"P"	"P"	"P"
"200849_s_at"	"P"	"P"	"P"
"200850_s_at"	"P"	"P"	"P"
"200851_s_at"	"P"	"P"	"P"
"200852_x_at"	"P"	"P"	"P"
"200853_at"	"P"	"P"	"P"
"200854_at"	"P"	"P"	"P"
"200855_at"	"P"	"P"	"P"
"200856_x_at"	"P"	"P"	"P"
"200857_s_at"	"P"	"P"	"P"
